,rank effect,count
0,-9,18
1,-8,144
2,-7,594
3,-6,1344
4,-5,2088
5,-4,2016
6,-3,1512
7,-2,576
8,-1,5004
9,0,65568
10,1,5004
11,2,576
12,3,1512
13,4,2016
14,5,2088
15,6,1344
16,7,594
17,8,144
18,9,18
