node,frm_value,to_value,rank_effect,count
0,0,1,-3,5760
0,0,2,-3,5760
0,0,3,-3,5760
0,0,4,-3,5760
0,1,0,-3,5760
0,1,2,-3,5760
0,1,3,-3,5760
0,1,4,-3,5760
0,2,0,-3,5760
0,2,1,-3,5760
0,2,3,-3,5760
0,2,4,-3,5760
0,3,0,-3,5760
0,3,1,-3,5760
0,3,2,-3,5760
0,3,4,-3,5760
0,4,0,-3,5760
0,4,1,-3,5760
0,4,2,-3,5760
0,4,3,-3,5760
0,0,1,-2,109707
0,0,2,-2,109707
0,0,3,-2,109707
0,0,4,-2,109707
0,1,0,-2,109707
0,1,2,-2,109707
0,1,3,-2,109707
0,1,4,-2,109707
0,2,0,-2,109707
0,2,1,-2,109707
0,2,3,-2,109707
0,2,4,-2,109707
0,3,0,-2,109707
0,3,1,-2,109707
0,3,2,-2,109707
0,3,4,-2,109707
0,4,0,-2,109707
0,4,1,-2,109707
0,4,2,-2,109707
0,4,3,-2,109707
0,0,1,-1,505041
0,0,2,-1,505041
0,0,3,-1,505041
0,0,4,-1,505041
0,1,0,-1,505041
0,1,2,-1,505041
0,1,3,-1,505041
0,1,4,-1,505041
0,2,0,-1,505041
0,2,1,-1,505041
0,2,3,-1,505041
0,2,4,-1,505041
0,3,0,-1,505041
0,3,1,-1,505041
0,3,2,-1,505041
0,3,4,-1,505041
0,4,0,-1,505041
0,4,1,-1,505041
0,4,2,-1,505041
0,4,3,-1,505041
1,0,1,-3,10688
1,0,2,-3,10688
1,0,3,-3,10688
1,0,4,-3,10688
1,1,0,-3,10688
1,1,2,-3,10688
1,1,3,-3,10688
1,1,4,-3,10688
1,2,0,-3,10688
1,2,1,-3,10688
1,2,3,-3,10688
1,2,4,-3,10688
1,3,0,-3,10688
1,3,1,-3,10688
1,3,2,-3,10688
1,3,4,-3,10688
1,4,0,-3,10688
1,4,1,-3,10688
1,4,2,-3,10688
1,4,3,-3,10688
1,0,1,-2,130820
1,0,2,-2,130820
1,0,3,-2,130820
1,0,4,-2,130820
1,1,0,-2,130820
1,1,2,-2,130820
1,1,3,-2,130820
1,1,4,-2,130820
1,2,0,-2,130820
1,2,1,-2,130820
1,2,3,-2,130820
1,2,4,-2,130820
1,3,0,-2,130820
1,3,1,-2,130820
1,3,2,-2,130820
1,3,4,-2,130820
1,4,0,-2,130820
1,4,1,-2,130820
1,4,2,-2,130820
1,4,3,-2,130820
1,0,1,-1,491005
1,0,2,-1,491005
1,0,3,-1,491005
1,0,4,-1,491005
1,1,0,-1,491005
1,1,2,-1,491005
1,1,3,-1,491005
1,1,4,-1,491005
1,2,0,-1,491005
1,2,1,-1,491005
1,2,3,-1,491005
1,2,4,-1,491005
1,3,0,-1,491005
1,3,1,-1,491005
1,3,2,-1,491005
1,3,4,-1,491005
1,4,0,-1,491005
1,4,1,-1,491005
1,4,2,-1,491005
1,4,3,-1,491005
2,0,1,-3,11712
2,0,2,-3,11712
2,0,3,-3,11712
2,0,4,-3,11712
2,1,0,-3,11712
2,1,2,-3,11712
2,1,3,-3,11712
2,1,4,-3,11712
2,2,0,-3,11712
2,2,1,-3,11712
2,2,3,-3,11712
2,2,4,-3,11712
2,3,0,-3,11712
2,3,1,-3,11712
2,3,2,-3,11712
2,3,4,-3,11712
2,4,0,-3,11712
2,4,1,-3,11712
2,4,2,-3,11712
2,4,3,-3,11712
2,0,1,-2,123457
2,0,2,-2,123457
2,0,3,-2,123457
2,0,4,-2,123457
2,1,0,-2,123457
2,1,2,-2,123457
2,1,3,-2,123457
2,1,4,-2,123457
2,2,0,-2,123457
2,2,1,-2,123457
2,2,3,-2,123457
2,2,4,-2,123457
2,3,0,-2,123457
2,3,1,-2,123457
2,3,2,-2,123457
2,3,4,-2,123457
2,4,0,-2,123457
2,4,1,-2,123457
2,4,2,-2,123457
2,4,3,-2,123457
2,0,1,-1,493953
2,0,2,-1,493953
2,0,3,-1,493953
2,0,4,-1,493953
2,1,0,-1,493953
2,1,2,-1,493953
2,1,3,-1,493953
2,1,4,-1,493953
2,2,0,-1,493953
2,2,1,-1,493953
2,2,3,-1,493953
2,2,4,-1,493953
2,3,0,-1,493953
2,3,1,-1,493953
2,3,2,-1,493953
2,3,4,-1,493953
2,4,0,-1,493953
2,4,1,-1,493953
2,4,2,-1,493953
2,4,3,-1,493953
3,0,1,-3,11840
3,0,2,-3,11840
3,0,3,-3,11840
3,0,4,-3,11840
3,1,0,-3,11840
3,1,2,-3,11840
3,1,3,-3,11840
3,1,4,-3,11840
3,2,0,-3,11840
3,2,1,-3,11840
3,2,3,-3,11840
3,2,4,-3,11840
3,3,0,-3,11840
3,3,1,-3,11840
3,3,2,-3,11840
3,3,4,-3,11840
3,4,0,-3,11840
3,4,1,-3,11840
3,4,2,-3,11840
3,4,3,-3,11840
3,0,1,-2,123844
3,0,2,-2,123844
3,0,3,-2,123844
3,0,4,-2,123844
3,1,0,-2,123844
3,1,2,-2,123844
3,1,3,-2,123844
3,1,4,-2,123844
3,2,0,-2,123844
3,2,1,-2,123844
3,2,3,-2,123844
3,2,4,-2,123844
3,3,0,-2,123844
3,3,1,-2,123844
3,3,2,-2,123844
3,3,4,-2,123844
3,4,0,-2,123844
3,4,1,-2,123844
3,4,2,-2,123844
3,4,3,-2,123844
3,0,1,-1,493821
3,0,2,-1,493821
3,0,3,-1,493821
3,0,4,-1,493821
3,1,0,-1,493821
3,1,2,-1,493821
3,1,3,-1,493821
3,1,4,-1,493821
3,2,0,-1,493821
3,2,1,-1,493821
3,2,3,-1,493821
3,2,4,-1,493821
3,3,0,-1,493821
3,3,1,-1,493821
3,3,2,-1,493821
3,3,4,-1,493821
3,4,0,-1,493821
3,4,1,-1,493821
3,4,2,-1,493821
3,4,3,-1,493821
4,0,1,-3,4800
4,0,2,-3,4800
4,0,3,-3,4800
4,0,4,-3,4800
4,1,0,-3,4800
4,1,2,-3,4800
4,1,3,-3,4800
4,1,4,-3,4800
4,2,0,-3,4800
4,2,1,-3,4800
4,2,3,-3,4800
4,2,4,-3,4800
4,3,0,-3,4800
4,3,1,-3,4800
4,3,2,-3,4800
4,3,4,-3,4800
4,4,0,-3,4800
4,4,1,-3,4800
4,4,2,-3,4800
4,4,3,-3,4800
4,0,1,-2,111243
4,0,2,-2,111243
4,0,3,-2,111243
4,0,4,-2,111243
4,1,0,-2,111243
4,1,2,-2,111243
4,1,3,-2,111243
4,1,4,-2,111243
4,2,0,-2,111243
4,2,1,-2,111243
4,2,3,-2,111243
4,2,4,-2,111243
4,3,0,-2,111243
4,3,1,-2,111243
4,3,2,-2,111243
4,3,4,-2,111243
4,4,0,-2,111243
4,4,1,-2,111243
4,4,2,-2,111243
4,4,3,-2,111243
4,0,1,-1,504241
4,0,2,-1,504241
4,0,3,-1,504241
4,0,4,-1,504241
4,1,0,-1,504241
4,1,2,-1,504241
4,1,3,-1,504241
4,1,4,-1,504241
4,2,0,-1,504241
4,2,1,-1,504241
4,2,3,-1,504241
4,2,4,-1,504241
4,3,0,-1,504241
4,3,1,-1,504241
4,3,2,-1,504241
4,3,4,-1,504241
4,4,0,-1,504241
4,4,1,-1,504241
4,4,2,-1,504241
4,4,3,-1,504241
5,0,1,-2,118529
5,0,2,-2,118529
5,0,3,-2,118529
5,0,4,-2,118529
5,1,0,-2,118529
5,1,2,-2,118529
5,1,3,-2,118529
5,1,4,-2,118529
5,2,0,-2,118529
5,2,1,-2,118529
5,2,3,-2,118529
5,2,4,-2,118529
5,3,0,-2,118529
5,3,1,-2,118529
5,3,2,-2,118529
5,3,4,-2,118529
5,4,0,-2,118529
5,4,1,-2,118529
5,4,2,-2,118529
5,4,3,-2,118529
5,0,1,-1,499329
5,0,2,-1,499329
5,0,3,-1,499329
5,0,4,-1,499329
5,1,0,-1,499329
5,1,2,-1,499329
5,1,3,-1,499329
5,1,4,-1,499329
5,2,0,-1,499329
5,2,1,-1,499329
5,2,3,-1,499329
5,2,4,-1,499329
5,3,0,-1,499329
5,3,1,-1,499329
5,3,2,-1,499329
5,3,4,-1,499329
5,4,0,-1,499329
5,4,1,-1,499329
5,4,2,-1,499329
5,4,3,-1,499329
6,0,1,-3,5568
6,0,2,-3,5568
6,0,3,-3,5568
6,0,4,-3,5568
6,1,0,-3,5568
6,1,2,-3,5568
6,1,3,-3,5568
6,1,4,-3,5568
6,2,0,-3,5568
6,2,1,-3,5568
6,2,3,-3,5568
6,2,4,-3,5568
6,3,0,-3,5568
6,3,1,-3,5568
6,3,2,-3,5568
6,3,4,-3,5568
6,4,0,-3,5568
6,4,1,-3,5568
6,4,2,-3,5568
6,4,3,-3,5568
6,0,1,-2,108235
6,0,2,-2,108235
6,0,3,-2,108235
6,0,4,-2,108235
6,1,0,-2,108235
6,1,2,-2,108235
6,1,3,-2,108235
6,1,4,-2,108235
6,2,0,-2,108235
6,2,1,-2,108235
6,2,3,-2,108235
6,2,4,-2,108235
6,3,0,-2,108235
6,3,1,-2,108235
6,3,2,-2,108235
6,3,4,-2,108235
6,4,0,-2,108235
6,4,1,-2,108235
6,4,2,-2,108235
6,4,3,-2,108235
6,0,1,-1,505681
6,0,2,-1,505681
6,0,3,-1,505681
6,0,4,-1,505681
6,1,0,-1,505681
6,1,2,-1,505681
6,1,3,-1,505681
6,1,4,-1,505681
6,2,0,-1,505681
6,2,1,-1,505681
6,2,3,-1,505681
6,2,4,-1,505681
6,3,0,-1,505681
6,3,1,-1,505681
6,3,2,-1,505681
6,3,4,-1,505681
6,4,0,-1,505681
6,4,1,-1,505681
6,4,2,-1,505681
6,4,3,-1,505681
7,0,1,-3,9728
7,0,2,-3,9728
7,0,3,-3,9728
7,0,4,-3,9728
7,1,0,-3,9728
7,1,2,-3,9728
7,1,3,-3,9728
7,1,4,-3,9728
7,2,0,-3,9728
7,2,1,-3,9728
7,2,3,-3,9728
7,2,4,-3,9728
7,3,0,-3,9728
7,3,1,-3,9728
7,3,2,-3,9728
7,3,4,-3,9728
7,4,0,-3,9728
7,4,1,-3,9728
7,4,2,-3,9728
7,4,3,-3,9728
7,0,1,-2,131454
7,0,2,-2,131454
7,0,3,-2,131454
7,0,4,-2,131454
7,1,0,-2,131454
7,1,2,-2,131454
7,1,3,-2,131454
7,1,4,-2,131454
7,2,0,-2,131454
7,2,1,-2,131454
7,2,3,-2,131454
7,2,4,-2,131454
7,3,0,-2,131454
7,3,1,-2,131454
7,3,2,-2,131454
7,3,4,-2,131454
7,4,0,-2,131454
7,4,1,-2,131454
7,4,2,-2,131454
7,4,3,-2,131454
7,0,1,-1,490661
7,0,2,-1,490661
7,0,3,-1,490661
7,0,4,-1,490661
7,1,0,-1,490661
