node,-3,-2,-1,0,1,2,3
0,0,2871,29586,43086,29586,2871,0
1,0,768,13632,25200,13632,768,0
2,0,768,13632,25200,13632,768,0
3,1680,7680,26544,36192,26544,7680,1680
4,2148,10344,32598,44820,32598,10344,2148
5,0,2871,29586,43086,29586,2871,0
6,0,0,23760,33480,23760,0,0
