node,frm_value,to_value,rank_effect,count
0,0,1,-2,9
0,0,2,-2,9
0,1,0,-2,9
0,1,2,-2,9
0,2,0,-2,9
0,2,1,-2,9
0,0,1,-1,71
0,0,2,-1,71
0,1,0,-1,71
0,1,2,-1,71
0,2,0,-1,71
0,2,1,-1,71
1,1,0,-2,15
1,2,0,-2,15
1,3,0,-2,15
1,0,1,-2,15
1,2,1,-2,15
1,3,1,-2,15
1,0,2,-2,15
1,1,2,-2,15
1,3,2,-2,15
1,1,0,-1,47
1,1,2,-1,47
1,1,3,-1,40
1,2,0,-1,47
1,2,1,-1,47
1,2,3,-1,40
1,3,0,-1,67
1,3,1,-1,67
1,3,2,-1,67
1,0,1,-1,47
1,0,2,-1,47
1,0,3,-1,40
2,1,0,-2,15
2,2,0,-2,15
2,3,0,-2,15
2,0,1,-2,15
2,2,1,-2,15
2,3,1,-2,15
2,0,2,-2,15
2,1,2,-2,15
2,3,2,-2,15
2,1,0,-1,47
2,1,2,-1,47
2,1,3,-1,40
2,2,0,-1,47
2,2,1,-1,47
2,2,3,-1,40
2,3,0,-1,67
2,3,1,-1,67
2,3,2,-1,67
2,0,1,-1,47
2,0,2,-1,47
2,0,3,-1,40
3,0,1,-2,4
3,2,1,-2,4
3,3,1,-2,4
3,0,2,-2,4
3,1,2,-2,4
3,3,2,-2,4
3,0,3,-2,6
3,1,3,-2,6
3,2,3,-2,6
3,1,0,-2,4
3,2,0,-2,4
3,3,0,-2,4
3,1,0,-1,55
3,1,2,-1,55
3,1,3,-1,54
3,2,0,-1,55
3,2,1,-1,55
3,2,3,-1,54
3,3,0,-1,55
3,3,1,-1,55
3,3,2,-1,55
3,0,1,-1,55
3,0,2,-1,55
3,0,3,-1,54
4,2,1,-2,4
4,3,1,-2,4
4,0,1,-2,4
4,1,2,-2,4
4,3,2,-2,4
4,0,2,-2,4
4,1,3,-2,6
4,2,3,-2,6
4,0,3,-2,6
4,2,0,-2,4
4,3,0,-2,4
4,1,0,-2,4
4,1,0,-1,55
4,2,0,-1,55
4,3,0,-1,55
4,2,1,-1,55
4,3,1,-1,55
4,1,2,-1,55
4,3,2,-1,55
4,1,3,-1,54
4,2,3,-1,54
4,0,1,-1,55
4,0,2,-1,55
4,0,3,-1,54
