node,-2,-1,0,1,2
0,480,978,1458,978,480
1,480,978,1458,978,480
2,480,978,1458,978,480
3,480,978,1458,978,480
4,480,978,1458,978,480
5,480,978,1458,978,480
6,480,978,1458,978,480
