,rank effect,count
0,-13,26
1,-12,312
2,-11,1898
3,-10,6864
4,-9,17316
5,-8,30888
6,-7,41756
7,-6,41184
8,-5,32318
9,-4,17160
10,-3,9438
11,-2,1872
12,-1,110240
13,0,2359344
14,1,110240
15,2,1872
16,3,9438
17,4,17160
18,5,32318
19,6,41184
20,7,41756
21,8,30888
22,9,17316
23,10,6864
24,11,1898
25,12,312
26,13,26
