node,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,0,0,0,0,32,128,32,0,0,0,0
1,0,0,0,0,32,128,32,0,0,0,0
2,0,0,0,0,32,128,32,0,0,0,0
3,0,0,0,0,32,128,32,0,0,0,0
4,10,40,90,80,60,400,60,80,90,40,10
5,0,0,0,0,32,128,32,0,0,0,0
