node,-3,-2,-1,0,1,2,3
0,0,0,384,384,384,0,0
1,0,132,432,600,432,132,0
2,0,0,384,384,384,0,0
3,54,180,378,504,378,180,54
4,0,0,144,288,144,0,0
5,0,0,144,288,144,0,0
