node,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
7,16,112,408,784,1036,784,504,112,10920,112,504,784,1036,784,408,112,16
8,0,0,0,0,0,0,0,256,1792,256,0,0,0,0,0,0,0
