config,rank,succ
"[(None, False), (None, False), (None, False), (None, False)]",4,"[[(3, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (None, True)]",5,"[[(2, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (0, False)]",4,"[[(3, False), (None, False), (None, False), (0, False)], [(None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, False), (0, True)]",5,"[[(3, False), (None, False), (None, False), (0, True)], [(None, False), (None, False), (None, False), (0, False)]]"
"[(None, False), (None, False), (None, True), (None, False)]",5,"[[(3, False), (None, False), (None, True), (None, False)], [(None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (None, True), (None, True)]",6,"[[(1, False), (None, False), (None, True), (None, True)], [(None, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, True), (0, False)]",6,"[[(3, False), (None, False), (None, True), (0, False)], [(None, False), (None, False), (None, False), (0, False)], [(None, False), (None, False), (None, True), (None, False)]]"
"[(None, False), (None, False), (None, True), (0, True)]",6,"[[(3, False), (None, False), (None, True), (0, True)], [(None, False), (None, False), (None, False), (0, True)], [(None, False), (None, False), (None, True), (0, False)]]"
"[(None, False), (None, False), (0, False), (None, False)]",4,"[[(2, False), (None, False), (0, False), (None, False)], [(None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, False), (0, False), (None, True)]",6,"[[(2, False), (None, False), (0, False), (None, True)], [(None, False), (None, False), (None, False), (None, True)], [(None, False), (None, False), (0, False), (None, False)]]"
"[(None, False), (None, False), (0, False), (0, False)]",5,"[[(2, False), (None, False), (0, False), (0, False)], [(None, False), (None, False), (None, False), (0, False)], [(None, False), (None, False), (0, False), (None, False)]]"
"[(None, False), (None, False), (0, False), (0, True)]",6,"[[(2, False), (None, False), (0, False), (0, True)], [(None, False), (None, False), (None, False), (0, True)], [(None, False), (None, False), (0, False), (0, False)]]"
"[(None, False), (None, False), (0, True), (None, False)]",5,"[[(2, False), (None, False), (0, True), (None, False)], [(None, False), (None, False), (0, False), (None, False)]]"
"[(None, False), (None, False), (0, True), (None, True)]",6,"[[(2, False), (None, False), (0, True), (None, True)], [(None, False), (None, False), (0, False), (None, True)], [(None, False), (None, False), (0, True), (None, False)]]"
"[(None, False), (None, False), (0, True), (0, False)]",6,"[[(2, False), (None, False), (0, True), (0, False)], [(None, False), (None, False), (0, False), (0, False)], [(None, False), (None, False), (0, True), (None, False)]]"
"[(None, False), (None, False), (0, True), (0, True)]",7,"[[(2, False), (None, False), (0, True), (0, True)], [(None, False), (None, False), (0, False), (0, True)], [(None, False), (None, False), (0, True), (0, False)]]"
"[(None, False), (None, True), (None, False), (None, False)]",5,"[[(3, False), (None, True), (None, False), (None, False)], [(None, False), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (None, True)]",6,"[[(2, False), (None, True), (None, False), (None, True)], [(None, False), (None, False), (None, False), (None, True)], [(None, False), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (0, False)]",6,"[[(3, False), (None, True), (None, False), (0, False)], [(None, False), (None, False), (None, False), (0, False)], [(None, False), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (0, True)]",6,"[[(3, False), (None, True), (None, False), (0, True)], [(None, False), (None, False), (None, False), (0, True)], [(None, False), (None, True), (None, False), (0, False)]]"
"[(None, False), (None, True), (None, True), (None, False)]",6,"[[(3, False), (None, True), (None, True), (None, False)], [(None, False), (None, False), (None, True), (None, False)], [(None, False), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, True)]",7,"[[(None, False), (None, False), (None, True), (None, True)], [(None, False), (None, True), (None, False), (None, True)], [(None, False), (None, True), (None, True), (None, False)]]"
"[(None, False), (None, True), (None, True), (0, False)]",7,"[[(3, False), (None, True), (None, True), (0, False)], [(None, False), (None, False), (None, True), (0, False)], [(None, False), (None, True), (None, False), (0, False)], [(None, False), (None, True), (None, True), (None, False)]]"
"[(None, False), (None, True), (None, True), (0, True)]",8,"[[(3, False), (None, True), (None, True), (0, True)], [(None, False), (None, False), (None, True), (0, True)], [(None, False), (None, True), (None, False), (0, True)], [(None, False), (None, True), (None, True), (0, False)]]"
"[(None, False), (None, True), (0, False), (None, False)]",6,"[[(2, False), (None, True), (0, False), (None, False)], [(None, False), (None, False), (0, False), (None, False)], [(None, False), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (0, False), (None, True)]",7,"[[(2, False), (None, True), (0, False), (None, True)], [(None, False), (None, False), (0, False), (None, True)], [(None, False), (None, True), (None, False), (None, True)], [(None, False), (None, True), (0, False), (None, False)]]"
"[(None, False), (None, True), (0, False), (0, False)]",6,"[[(2, False), (None, True), (0, False), (0, False)], [(None, False), (None, False), (0, False), (0, False)], [(None, False), (None, True), (None, False), (0, False)], [(None, False), (None, True), (0, False), (None, False)]]"
