config,rank,succ
"[(None, False), (None, True), (None, False), (1, False), (None, False)]",6,"[[(None, False), (None, False), (None, False), (1, False), (None, False)], [(None, False), (None, True), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (1, False), (None, True)]",7,"[[(None, False), (None, False), (None, False), (1, False), (None, True)], [(None, False), (None, True), (None, False), (None, False), (None, True)], [(None, False), (None, True), (None, False), (1, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (1, False), (1, False)]",7,"[[(None, False), (None, False), (None, False), (1, False), (1, False)], [(None, False), (None, True), (None, False), (None, False), (1, False)], [(None, False), (None, True), (None, False), (1, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (1, False), (1, True)]",8,"[[(None, False), (None, False), (None, False), (1, False), (1, True)], [(None, False), (None, True), (None, False), (None, False), (1, True)], [(None, False), (None, True), (None, False), (1, False), (1, False)]]"
"[(None, False), (None, True), (None, False), (1, True), (None, False)]",7,"[[(None, False), (None, False), (None, False), (1, True), (None, False)], [(None, False), (None, True), (None, False), (1, False), (None, False)]]"
"[(None, False), (None, True), (None, False), (1, True), (None, True)]",8,"[[(None, False), (None, False), (None, False), (1, True), (None, True)], [(None, False), (None, True), (None, False), (1, False), (None, True)], [(None, False), (None, True), (None, False), (1, True), (None, False)]]"
"[(None, False), (None, True), (None, False), (1, True), (1, False)]",8,"[[(None, False), (None, False), (None, False), (1, True), (1, False)], [(None, False), (None, True), (None, False), (1, False), (1, False)], [(None, False), (None, True), (None, False), (1, True), (None, False)]]"
"[(None, False), (None, True), (None, False), (1, True), (1, True)]",9,"[[(None, False), (None, False), (None, False), (1, True), (1, True)], [(None, False), (None, True), (None, False), (1, False), (1, True)], [(None, False), (None, True), (None, False), (1, True), (1, False)]]"
"[(None, False), (None, True), (None, True), (None, False), (None, False)]",6,"[[(None, False), (None, False), (None, True), (None, False), (None, False)], [(None, False), (None, True), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, False), (None, True)]",7,"[[(None, False), (None, False), (None, True), (None, False), (None, True)], [(None, False), (None, True), (None, False), (None, False), (None, True)], [(None, False), (None, True), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, False), (1, False)]",7,"[[(None, False), (None, False), (None, True), (None, False), (1, False)], [(None, False), (None, True), (None, False), (None, False), (1, False)], [(None, False), (None, True), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, False), (1, True)]",8,"[[(None, False), (None, False), (None, True), (None, False), (1, True)], [(None, False), (None, True), (None, False), (None, False), (1, True)], [(None, False), (None, True), (None, True), (None, False), (1, False)]]"
"[(None, False), (None, True), (None, True), (None, True), (None, False)]",7,"[[(None, False), (None, False), (None, True), (None, True), (None, False)], [(None, False), (None, True), (None, False), (None, True), (None, False)], [(None, False), (None, True), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, True), (None, True)]",8,"[[(None, False), (None, False), (None, True), (None, True), (None, True)], [(None, False), (None, True), (None, False), (None, True), (None, True)], [(None, False), (None, True), (None, True), (None, False), (None, True)], [(None, False), (None, True), (None, True), (None, True), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, True), (1, False)]",8,"[[(None, False), (None, False), (None, True), (None, True), (1, False)], [(None, False), (None, True), (None, False), (None, True), (1, False)], [(None, False), (None, True), (None, True), (None, False), (1, False)], [(None, False), (None, True), (None, True), (None, True), (None, False)]]"
"[(None, False), (None, True), (None, True), (None, True), (1, True)]",9,"[[(None, False), (None, False), (None, True), (None, True), (1, True)], [(None, False), (None, True), (None, False), (None, True), (1, True)], [(None, False), (None, True), (None, True), (None, False), (1, True)], [(None, False), (None, True), (None, True), (None, True), (1, False)]]"
"[(None, False), (None, True), (None, True), (1, False), (None, False)]",7,"[[(None, False), (None, False), (None, True), (1, False), (None, False)], [(None, False), (None, True), (None, False), (1, False), (None, False)], [(None, False), (None, True), (None, True), (None, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (1, False), (None, True)]",8,"[[(None, False), (None, False), (None, True), (1, False), (None, True)], [(None, False), (None, True), (None, False), (1, False), (None, True)], [(None, False), (None, True), (None, True), (None, False), (None, True)], [(None, False), (None, True), (None, True), (1, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (1, False), (1, False)]",8,"[[(None, False), (None, False), (None, True), (1, False), (1, False)], [(None, False), (None, True), (None, False), (1, False), (1, False)], [(None, False), (None, True), (None, True), (None, False), (1, False)], [(None, False), (None, True), (None, True), (1, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (1, False), (1, True)]",9,"[[(None, False), (None, False), (None, True), (1, False), (1, True)], [(None, False), (None, True), (None, False), (1, False), (1, True)], [(None, False), (None, True), (None, True), (None, False), (1, True)], [(None, False), (None, True), (None, True), (1, False), (1, False)]]"
"[(None, False), (None, True), (None, True), (1, True), (None, False)]",8,"[[(None, False), (None, False), (None, True), (1, True), (None, False)], [(None, False), (None, True), (None, False), (1, True), (None, False)], [(None, False), (None, True), (None, True), (1, False), (None, False)]]"
"[(None, False), (None, True), (None, True), (1, True), (None, True)]",9,"[[(None, False), (None, False), (None, True), (1, True), (None, True)], [(None, False), (None, True), (None, False), (1, True), (None, True)], [(None, False), (None, True), (None, True), (1, False), (None, True)], [(None, False), (None, True), (None, True), (1, True), (None, False)]]"
"[(None, False), (None, True), (None, True), (1, True), (1, False)]",9,"[[(None, False), (None, False), (None, True), (1, True), (1, False)], [(None, False), (None, True), (None, False), (1, True), (1, False)], [(None, False), (None, True), (None, True), (1, False), (1, False)], [(None, False), (None, True), (None, True), (1, True), (None, False)]]"
"[(None, False), (None, True), (None, True), (1, True), (1, True)]",10,"[[(None, False), (None, False), (None, True), (1, True), (1, True)], [(None, False), (None, True), (None, False), (1, True), (1, True)], [(None, False), (None, True), (None, True), (1, False), (1, True)], [(None, False), (None, True), (None, True), (1, True), (1, False)]]"
"[(None, False), (None, True), (1, False), (None, False), (None, False)]",6,"[[(None, False), (None, False), (1, False), (None, False), (None, False)], [(None, False), (None, True), (None, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (1, False), (None, False), (None, True)]",7,"[[(None, False), (None, False), (1, False), (None, False), (None, True)], [(None, False), (None, True), (None, False), (None, False), (None, True)], [(None, False), (None, True), (1, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (1, False), (None, False), (1, False)]",7,"[[(None, False), (None, False), (1, False), (None, False), (1, False)], [(None, False), (None, True), (None, False), (None, False), (1, False)], [(None, False), (None, True), (1, False), (None, False), (None, False)]]"
"[(None, False), (None, True), (1, False), (None, False), (1, True)]",8,"[[(None, False), (None, False), (1, False), (None, False), (1, True)], [(None, False), (None, True), (None, False), (None, False), (1, True)], [(None, False), (None, True), (1, False), (None, False), (1, False)]]"
"[(None, False), (None, True), (1, False), (None, True), (None, False)]",7,"[[(None, False), (None, False), (1, False), (None, True), (None, False)], [(None, False), (None, True), (None, False), (None, True), (None, False)], [(None, False), (None, True), (1, False), (None, False), (None, False)]]"
