config,rank,succ
"[(2, True), (None, False), (1, False)]",6,"[[(2, False), (None, False), (1, False)], [(2, True), (2, False), (1, False)], [(2, True), (None, False), (None, False)]]"
"[(2, True), (None, False), (1, True)]",8,"[[(2, False), (None, False), (1, True)], [(2, True), (2, False), (1, True)], [(2, True), (None, False), (1, False)]]"
"[(2, True), (None, True), (None, False)]",6,"[[(2, False), (None, True), (None, False)], [(2, True), (None, False), (None, False)], [(2, True), (None, True), (0, False)]]"
"[(2, True), (None, True), (None, True)]",8,"[[(2, False), (None, True), (None, True)], [(2, True), (None, False), (None, True)], [(2, True), (None, True), (None, False)]]"
"[(2, True), (None, True), (0, False)]",2,"[[(2, True), (None, False), (0, False)], [(2, True), (None, True), (0, True)]]"
"[(2, True), (None, True), (0, True)]",1,"[[(2, True), (None, False), (0, True)]]"
"[(2, True), (None, True), (1, False)]",7,"[[(2, False), (None, True), (1, False)], [(2, True), (None, False), (1, False)], [(2, True), (None, True), (None, False)]]"
"[(2, True), (None, True), (1, True)]",9,"[[(2, False), (None, True), (1, True)], [(2, True), (None, False), (1, True)], [(2, True), (None, True), (1, False)]]"
"[(2, True), (0, False), (None, False)]",6,"[[(2, False), (0, False), (None, False)], [(2, True), (None, False), (None, False)], [(2, True), (0, False), (0, False)]]"
"[(2, True), (0, False), (None, True)]",8,"[[(2, False), (0, False), (None, True)], [(2, True), (None, False), (None, True)], [(2, True), (0, False), (None, False)]]"
"[(2, True), (0, False), (0, False)]",2,"[[(2, True), (None, False), (0, False)], [(2, True), (0, False), (0, True)]]"
"[(2, True), (0, False), (0, True)]",1,"[[(2, True), (None, False), (0, True)]]"
"[(2, True), (0, False), (1, False)]",7,"[[(2, False), (0, False), (1, False)], [(2, True), (None, False), (1, False)], [(2, True), (0, False), (None, False)]]"
"[(2, True), (0, False), (1, True)]",9,"[[(2, False), (0, False), (1, True)], [(2, True), (None, False), (1, True)], [(2, True), (0, False), (1, False)]]"
"[(2, True), (0, True), (None, False)]",7,"[[(2, False), (0, True), (None, False)], [(2, True), (0, False), (None, False)], [(2, True), (0, True), (0, False)]]"
"[(2, True), (0, True), (None, True)]",9,"[[(2, False), (0, True), (None, True)], [(2, True), (0, False), (None, True)], [(2, True), (0, True), (None, False)]]"
"[(2, True), (0, True), (0, False)]",3,"[[(2, True), (0, False), (0, False)], [(2, True), (0, True), (0, True)]]"
"[(2, True), (0, True), (0, True)]",2,"[[(2, True), (0, False), (0, True)]]"
"[(2, True), (0, True), (1, False)]",8,"[[(2, False), (0, True), (1, False)], [(2, True), (0, False), (1, False)], [(2, True), (0, True), (None, False)]]"
"[(2, True), (0, True), (1, True)]",10,"[[(2, False), (0, True), (1, True)], [(2, True), (0, False), (1, True)], [(2, True), (0, True), (1, False)]]"
"[(2, True), (2, False), (None, False)]",5,"[[(2, False), (2, False), (None, False)], [(2, True), (2, False), (0, False)]]"
"[(2, True), (2, False), (None, True)]",8,"[[(2, False), (2, False), (None, True)], [(2, True), (None, False), (None, True)], [(2, True), (2, False), (None, False)]]"
