,rank,count
0,0,212994
1,1,28
2,2,182
3,3,728
4,4,2002
5,5,4004
6,6,6006
7,7,6864
8,8,6006
9,9,4004
10,10,2002
11,11,728
12,12,182
13,13,28
14,14,2
