node,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
0,0,0,0,0,0,64,320,64,0,0,0,0,0
1,0,0,0,0,0,64,320,64,0,0,0,0,0
2,0,0,0,0,0,64,320,64,0,0,0,0,0
3,0,0,0,0,0,64,320,64,0,0,0,0,0
4,0,0,0,0,0,64,320,64,0,0,0,0,0
5,12,60,162,200,180,60,1340,60,180,200,162,60,12
6,0,0,0,0,0,64,320,64,0,0,0,0,0
