,rank effect,count
0,-8,384
1,-7,5376
2,-6,35712
3,-5,140112
4,-4,350448
5,-3,571704
6,-2,609264
7,-1,2200056
8,0,9180000
9,1,2200056
10,2,609264
11,3,571704
12,4,350448
13,5,140112
14,6,35712
15,7,5376
16,8,384
