node,-4,-3,-2,-1,0,1,2,3,4
0,1280,6720,13760,24000,36480,24000,13760,6720,1280
1,0,0,0,6400,19200,6400,0,0,0
2,0,0,0,6400,19200,6400,0,0,0
3,0,0,0,6400,19200,6400,0,0,0
4,512,3840,12800,27648,38400,27648,12800,3840,512
5,0,0,0,6400,19200,6400,0,0,0
6,0,0,0,6400,19200,6400,0,0,0
7,1280,6720,13760,24000,36480,24000,13760,6720,1280
8,0,0,0,6400,19200,6400,0,0,0
9,0,0,0,6400,19200,6400,0,0,0
10,0,0,0,6400,19200,6400,0,0,0
