node,-3,-2,-1,0,1,2,3
0,0,91840,400700,577420,400700,91840,0
1,0,65760,414340,602300,414340,65760,0
2,0,91840,400700,577420,400700,91840,0
3,0,65760,414340,602300,414340,65760,0
4,0,65760,414340,602300,414340,65760,0
5,3840,56000,420220,602380,420220,56000,3840
6,0,91840,400700,577420,400700,91840,0
7,3840,56000,420220,602380,420220,56000,3840
