node,-3,-2,-1,0,1,2,3
0,0,0,512,2048,512,0,0
1,0,288,2568,3504,2568,288,0
2,0,288,2568,3504,2568,288,0
3,120,1330,3696,5068,3696,1330,120
4,0,288,2568,3504,2568,288,0
5,0,288,2568,3504,2568,288,0
