Iteration,0,1,2,3,4,5,6,7,8
1,29,25,29,43,31,57,49,29,41
2,46,36,48,38,32,44,38,32,36
3,28,28,28,24,40,22,22,26,24
4,41,19,37,27,25,39,33,41,33
5,31,37,25,43,71,45,45,27,51
6,40,44,48,44,22,32,32,38,28
7,43,35,43,37,33,31,25,23,43
8,36,42,78,46,36,32,48,58,52
9,32,36,40,32,34,32,48,38,36
10,29,29,45,53,63,37,45,41,27
11,34,24,42,22,32,30,32,40,26
12,49,49,31,47,29,53,33,39,31
13,25,25,39,35,27,29,23,25,31
14,54,34,26,36,44,34,30,38,62
15,40,38,36,54,52,32,44,34,56
16,30,36,36,42,62,36,38,40,22
17,39,47,59,55,35,37,65,37,39
18,35,47,55,49,41,53,49,43,57
19,40,36,74,30,36,72,32,28,38
20,54,44,30,68,42,38,48,42,40
21,28,16,26,46,30,22,24,22,24
22,26,18,28,22,32,38,22,28,32
23,38,34,68,50,54,34,36,26,34
24,34,32,40,38,60,28,32,36,50
25,30,28,32,44,44,32,24,22,42
26,51,29,57,49,39,71,45,63,33
27,36,28,48,60,38,38,34,40,36
28,50,40,24,60,52,54,44,30,28
29,45,41,57,75,47,47,63,35,43
30,28,30,26,24,58,20,30,30,28
31,20,26,22,42,32,40,20,24,20
32,24,40,38,36,50,38,32,24,44
33,52,54,38,30,42,62,40,48,48
34,51,41,65,49,41,39,49,35,43
35,43,23,35,37,21,37,47,31,35
36,35,43,49,37,51,49,45,49,59
37,23,17,19,17,31,25,29,13,25
38,22,48,76,34,48,24,52,30,38
39,36,42,44,32,26,24,38,26,52
40,23,33,41,57,31,35,59,37,29
41,61,29,35,71,43,53,23,39,55
42,25,31,57,43,47,33,35,27,43
43,21,13,15,19,23,15,19,15,23
44,31,25,27,37,31,25,21,25,23
45,54,48,42,42,66,30,32,50,28
46,26,18,42,28,36,48,22,16,24
47,50,30,24,30,32,38,32,30,30
48,39,29,35,33,33,47,53,53,53
49,35,25,35,61,37,31,39,27,25
50,34,34,24,78,46,28,50,48,38
51,40,50,40,40,40,30,44,44,42
52,47,47,31,89,39,37,59,41,29
53,33,53,21,45,39,37,23,33,33
54,52,50,40,52,46,28,32,32,40
55,41,23,53,71,37,49,59,29,33
56,36,32,40,54,38,46,36,50,30
57,42,28,50,30,54,58,48,28,26
58,61,31,51,39,47,37,75,31,33
59,51,33,55,39,49,45,23,27,25
60,65,37,29,63,49,53,45,41,49
61,39,43,37,29,29,41,23,43,31
62,33,45,35,63,41,39,51,29,41
63,36,24,32,24,32,26,32,24,48
64,25,55,85,31,31,29,61,41,37
65,19,27,43,27,53,29,51,39,25
66,33,35,39,43,49,49,43,37,35
67,35,33,31,45,61,41,45,41,41
68,28,44,28,36,64,68,62,38,32
69,35,29,21,57,39,29,37,39,41
70,42,34,56,40,36,46,42,46,42
71,32,42,38,46,32,52,38,36,54
72,23,37,33,43,33,45,25,21,25
73,23,31,57,39,29,23,33,33,29
74,34,32,32,42,32,34,34,34,40
75,32,30,50,26,50,14,32,36,26
76,45,35,31,23,55,37,31,37,47
77,44,38,36,42,50,32,30,30,46
78,37,41,33,57,25,49,39,29,25
79,54,16,42,46,38,28,36,22,30
80,25,37,33,29,41,35,25,33,25
81,49,37,35,49,39,23,37,31,43
82,48,38,36,54,28,22,52,54,28
83,20,42,32,28,18,30,44,28,26
84,31,35,63,37,37,45,45,37,43
85,27,33,43,33,31,17,49,29,33
86,22,24,26,30,24,20,28,24,26
87,37,43,35,53,65,37,51,41,37
88,33,25,39,29,53,59,35,23,33
89,53,41,37,37,29,47,59,33,41
90,41,45,45,45,27,47,35,37,41
91,30,28,82,52,40,30,52,36,30
92,50,42,54,34,64,50,58,42,38
93,26,20,28,38,82,24,20,24,18
94,27,23,37,27,69,29,17,17,31
95,41,25,69,43,39,25,33,31,27
96,45,31,37,69,45,57,55,37,37
97,39,35,55,41,59,25,37,31,33
98,47,29,67,43,51,31,55,31,27
99,30,40,26,56,30,40,20,32,62
100,31,33,39,55,37,67,37,47,45
101,16,22,20,32,56,28,38,20,16
102,40,32,34,40,44,42,42,38,40
103,39,33,41,49,33,31,47,49,27
104,27,29,39,35,33,31,41,33,59
105,33,37,37,45,35,39,39,59,37
106,27,29,55,39,13,29,19,19,23
107,31,27,43,59,53,33,35,31,35
108,41,47,43,49,49,49,21,33,41
109,24,24,32,18,38,32,24,46,28
110,45,39,27,37,33,33,31,23,27
111,34,22,32,36,46,36,46,34,30
112,48,40,40,58,36,30,64,48,32
113,34,42,42,38,24,36,24,28,52
114,32,44,76,46,42,66,42,38,42
115,27,27,29,77,29,47,25,19,19
116,47,29,37,29,21,27,47,39,39
117,33,29,57,27,37,39,29,39,35
118,56,42,76,38,52,32,38,38,32
119,33,29,35,43,43,39,61,23,23
120,29,29,41,33,49,23,31,39,35
121,43,47,47,45,45,73,35,33,43
122,39,43,59,63,51,33,39,49,49
123,34,46,38,54,24,30,36,28,24
124,36,58,28,42,56,48,24,32,28
125,46,40,56,42,44,40,36,46,44
126,42,38,48,46,30,28,40,30,30
127,32,44,32,30,66,36,18,30,34
128,33,35,39,49,35,31,41,33,53
129,46,38,36,48,46,50,40,32,34
130,19,23,33,33,31,45,33,21,29
131,53,43,45,39,49,35,33,53,33
132,27,49,23,41,67,35,39,29,35
133,38,16,44,42,24,46,14,24,24
