Iteration,0,1,2,3,4,5,6,7,8
149,64,40,54,96,84,78,62,76,38
150,57,41,127,79,91,95,39,83,143
151,57,63,99,51,59,53,51,55,57
152,67,45,47,75,49,51,47,35,89
153,66,68,108,76,96,58,66,40,40
154,42,48,162,50,56,42,60,34,46
155,95,29,35,75,41,91,27,25,47
156,48,48,38,94,50,58,82,48,54
157,82,30,68,106,80,50,84,36,40
158,40,38,32,48,58,68,60,24,52
159,51,49,73,77,41,91,55,59,45
160,35,45,41,49,79,87,59,57,157
161,62,62,76,92,66,60,42,36,70
162,48,34,60,152,54,36,36,36,32
163,46,26,26,40,50,38,32,20,32
164,45,41,59,53,75,33,49,29,23
165,45,23,25,49,85,39,87,27,205
166,76,52,58,64,46,70,96,40,62
167,40,46,36,36,68,62,50,38,58
168,43,53,71,75,73,53,135,37,57
169,55,67,63,45,53,55,45,45,61
170,52,96,62,78,42,80,84,58,82
171,48,34,144,76,40,46,58,40,42
172,44,62,42,70,38,52,70,48,54
173,32,40,42,50,104,46,138,32,46
174,84,38,66,52,52,52,92,48,56
175,46,50,66,64,50,52,80,46,64
176,139,107,69,277,73,59,53,49,55
177,65,51,61,169,119,57,71,49,53
178,52,44,34,70,52,40,42,48,92
179,55,55,101,137,57,53,65,33,43
180,55,71,35,135,23,61,35,53,73
181,56,60,72,202,44,50,150,56,78
182,62,40,60,34,182,68,58,40,36
183,56,40,38,136,84,38,78,58,44
184,52,56,54,48,96,34,94,68,30
185,55,47,47,41,37,61,45,41,51
186,49,67,81,75,47,45,35,37,37
187,50,40,62,74,86,62,42,30,32
188,54,76,80,66,64,88,84,74,52
189,44,74,56,226,72,56,80,62,174
190,28,52,88,74,54,42,82,54,26
191,83,49,105,105,65,29,45,45,53
192,132,78,60,78,68,90,70,86,50
193,74,42,66,62,58,110,36,76,54
194,98,46,116,136,66,30,48,50,56
195,49,95,75,53,65,51,63,33,47
196,77,23,45,47,115,23,21,31,63
197,42,34,42,50,58,60,62,64,58
198,38,58,58,90,70,182,76,52,48
199,39,45,43,57,41,41,53,41,39
200,30,96,94,66,126,64,62,42,48
201,50,52,54,48,68,70,70,60,32
202,62,42,52,92,40,174,174,44,26
203,68,56,102,58,66,82,52,64,60
204,58,58,72,66,56,44,210,46,66
205,130,44,66,64,58,84,112,46,38
206,51,49,81,61,119,99,83,51,49
207,71,41,69,127,43,61,71,35,29
208,43,27,79,47,45,47,33,61,27
209,73,57,67,85,93,33,61,43,51
210,45,35,41,103,37,101,61,47,45
211,112,46,82,78,52,44,50,78,38
212,60,78,78,122,58,128,40,64,58
213,81,55,87,119,49,41,73,45,43
214,53,49,135,69,57,75,59,69,69
215,71,53,101,57,121,47,57,51,45
216,63,41,71,43,101,53,169,51,41
217,88,38,54,48,74,54,42,50,50
218,53,55,51,61,63,39,53,39,85
219,52,50,28,76,58,46,28,26,32
220,48,52,168,54,72,62,60,48,34
221,34,54,106,52,50,40,52,38,30
222,36,32,72,60,60,132,44,26,38
223,71,35,255,85,85,23,67,79,61
224,66,54,34,70,156,20,32,48,54
225,50,84,106,178,118,70,72,64,56
226,51,85,77,69,51,55,61,65,57
227,76,30,144,66,74,84,86,44,72
228,58,68,48,90,78,56,158,44,34
229,50,26,82,378,130,44,36,62,50
230,34,50,40,76,46,58,48,60,32
231,79,47,57,145,65,61,51,47,53
232,50,36,90,128,136,64,52,42,26
233,61,67,97,49,53,93,69,49,57
234,27,55,201,61,61,49,59,55,59
235,19,21,31,43,83,51,99,51,41
236,37,53,37,75,85,47,53,51,57
237,67,57,95,63,107,61,21,45,45
238,42,46,40,76,160,60,82,54,56
239,47,55,39,31,69,57,79,45,45
240,39,43,51,111,115,201,57,41,49
241,66,66,108,34,54,82,46,38,46
242,40,72,82,152,64,40,54,66,52
243,61,99,119,45,95,73,79,43,51
244,55,47,101,77,81,91,59,59,73
245,70,82,32,58,60,40,82,42,54
246,92,54,60,62,86,70,58,56,46
247,24,34,60,78,36,68,54,38,40
248,30,44,92,184,74,42,78,38,50
249,48,52,50,66,68,126,48,54,54
250,46,62,50,76,64,54,74,114,44
251,38,46,38,38,94,48,86,50,46
252,56,36,96,62,72,62,58,46,64
253,37,37,63,53,133,55,69,79,69
254,91,39,61,195,77,237,85,59,37
255,37,45,55,83,99,221,43,55,51
256,67,65,51,35,63,41,41,37,45
257,62,68,150,90,70,74,90,48,52
258,53,55,25,51,43,67,61,39,29
259,45,39,163,151,73,111,73,75,49
260,58,58,90,80,110,54,58,52,56
261,78,34,66,100,72,56,48,46,76
262,47,49,161,81,65,61,63,97,47
263,56,44,62,52,148,64,108,72,42
264,54,28,74,64,36,40,46,36,40
265,50,28,202,112,102,72,48,64,46
266,64,42,40,98,86,56,66,80,60
267,39,53,115,37,21,113,21,25,33
268,52,94,56,78,118,80,44,38,34
269,74,50,58,48,94,50,30,46,46
270,52,74,70,98,80,66,58,64,52
271,66,40,58,66,76,128,82,56,98
272,47,45,71,65,37,55,49,57,31
273,40,54,78,74,66,82,126,48,78
274,60,46,198,50,28,32,46,34,76
275,53,53,111,101,177,57,85,49,47
276,69,91,73,89,69,89,63,55,53
277,68,34,60,94,64,40,38,36,32
278,70,52,52,70,98,54,58,140,70
279,34,20,18,34,12,32,88,26,44
280,99,43,47,41,65,47,41,141,51
281,58,42,52,102,46,56,48,52,42
282,59,53,93,43,93,83,185,59,43
283,47,77,71,119,73,49,65,37,83
284,63,49,161,69,89,73,63,45,55
285,42,44,70,90,74,42,52,44,64
286,40,48,60,64,80,68,166,38,54
287,232,44,106,68,46,38,60,64,62
288,45,33,125,71,97,35,65,143,37
289,40,26,30,52,86,46,60,48,46
290,81,41,171,55,55,57,167,59,49
291,19,17,23,121,47,45,41,45,27
292,22,24,60,128,76,210,26,52,54
293,60,46,42,44,52,30,64,112,42
294,39,111,57,55,83,65,47,45,85
295,104,46,50,52,44,50,66,50,44
296,57,73,57,111,95,125,45,49,45
297,55,43,71,197,103,63,77,45,95
298,61,51,31,43,281,35,155,57,61
299,65,57,51,75,143,33,89,55,115
300,47,51,49,75,67,131,49,61,49
301,54,60,84,184,52,48,70,72,62
302,45,115,87,35,89,57,33,35,55
303,120,54,98,62,36,36,42,44,44
304,57,49,55,65,93,37,55,53,63
305,60,62,62,90,66,56,96,68,64
306,83,49,49,59,63,83,89,33,75
307,51,71,55,159,101,89,35,59,35
308,54,50,36,160,50,44,74,36,40
309,51,47,75,89,33,51,73,73,51
310,85,71,51,221,65,41,59,37,83
311,43,53,51,137,73,39,141,47,57
312,29,61,57,51,29,45,31,43,33
313,76,56,42,56,66,56,32,56,56
314,49,47,29,41,77,83,39,39,29
315,73,83,65,51,61,81,141,59,49
316,63,57,65,115,91,89,53,63,33
317,31,45,71,51,129,45,57,133,39
318,48,36,86,56,88,210,40,48,70
319,36,34,48,54,70,92,66,70,34
320,66,88,172,80,70,68,56,50,44
321,61,39,127,65,91,55,65,41,71
322,44,70,66,64,62,50,74,28,44
323,54,38,68,176,74,32,44,66,48
324,45,29,95,115,65,47,43,47,39
325,62,54,38,66,84,34,52,32,50
326,63,71,69,47,89,87,41,35,51
327,28,30,24,72,28,20,102,54,60
328,65,65,51,47,181,33,79,65,43
329,62,98,48,108,80,72,110,54,90
330,46,40,32,54,32,90,48,44,92
331,54,36,54,74,60,48,56,40,48
332,39,61,47,259,85,51,49,47,47
333,32,28,40,68,170,96,280,84,44
334,55,25,37,111,31,65,95,35,27
335,43,95,67,47,143,41,47,47,45
336,46,34,130,98,110,224,56,34,60
337,30,36,110,58,48,76,50,54,18
338,43,43,51,99,41,103,147,47,39
339,41,69,157,77,61,177,51,43,55
340,48,28,40,40,46,50,52,54,36
341,48,36,42,66,54,70,60,40,42
342,101,47,107,41,35,35,95,29,31
343,35,43,55,65,83,89,69,77,49
344,39,53,73,81,79,65,47,59,41
345,131,69,79,81,63,49,31,41,41
346,71,63,55,71,83,55,41,51,127
347,36,64,152,56,42,50,46,58,46
348,68,68,52,112,60,44,58,52,58
349,69,45,97,73,57,25,27,55,35
350,61,35,125,37,71,55,69,41,57
351,60,82,64,38,70,50,38,48,60
352,27,21,17,199,47,35,81,17,29
353,47,35,47,255,109,45,33,91,45
354,53,89,37,77,57,63,65,49,55
355,30,44,26,84,74,46,18,22,54
356,40,42,42,140,64,76,32,32,50
357,83,45,33,55,55,65,69,45,41
358,60,42,36,68,68,60,40,34,38
359,39,45,33,53,61,51,111,37,45
360,62,46,18,100,50,78,32,28,38
361,60,40,96,48,94,26,40,38,108
362,72,38,74,84,90,96,50,32,58
363,29,47,121,63,41,27,31,43,25
364,64,38,48,72,104,40,50,52,72
365,41,87,45,51,95,59,59,63,51
366,130,22,62,34,56,18,56,20,22
367,32,124,40,54,150,52,66,44,96
368,40,58,38,72,74,42,134,38,44
369,35,37,75,109,59,93,79,35,33
370,70,56,54,282,38,32,76,82,42
371,36,62,62,162,62,68,74,36,64
372,43,77,51,83,155,65,87,71,61
373,44,60,70,70,94,50,56,42,50
374,28,20,34,52,34,42,164,20,30
375,70,76,54,104,170,78,36,52,52
376,31,37,61,111,153,47,51,55,31
377,63,41,51,83,97,73,45,37,73
378,56,66,102,72,58,44,68,54,62
379,81,51,49,71,167,51,85,41,33
380,64,40,38,140,68,78,56,34,58
381,58,52,62,78,202,76,56,50,72
382,56,60,40,146,80,58,72,60,52
383,95,61,47,129,103,59,81,63,55
384,68,58,52,70,82,36,56,38,54
385,32,34,36,56,128,84,124,48,64
386,112,44,138,98,32,62,28,54,20
387,49,45,231,69,157,47,79,37,157
388,64,94,78,52,64,70,70,34,40
389,34,46,144,112,48,28,30,26,30
390,71,45,55,179,81,57,69,69,63
391,45,65,85,77,65,37,89,51,53
392,74,44,86,134,82,42,48,44,70
393,40,56,56,72,90,44,58,34,42
394,65,39,83,123,33,43,33,41,43
395,35,51,51,71,103,47,57,47,53
396,58,66,304,100,108,44,84,58,32
397,183,61,63,75,67,51,51,97,67
398,46,66,40,46,34,50,58,54,66
399,83,27,39,53,67,31,47,65,53
400,26,70,26,58,74,68,92,30,38
401,33,33,49,119,59,69,57,69,61
402,78,68,80,80,60,98,48,48,64
403,45,47,97,61,145,51,35,39,71
404,35,57,69,81,81,149,51,83,153
405,49,101,87,67,93,33,103,47,37
406,58,46,100,74,40,150,66,54,70
407,48,56,74,42,62,56,68,38,178
408,52,70,52,122,38,28,38,36,24
409,134,44,52,234,146,40,58,46,52
410,31,85,47,117,27,67,47,33,39
411,63,89,47,47,33,47,61,85,63
412,26,40,50,40,56,28,76,60,32
413,51,115,289,165,71,103,95,55,57
414,54,74,62,42,56,68,60,32,38
415,25,57,71,67,115,21,39,29,25
416,63,49,57,101,73,55,39,35,51
417,40,78,44,56,42,102,62,52,46
418,57,41,41,95,57,39,63,29,37
419,22,26,40,28,90,50,34,78,30
420,53,51,73,83,47,45,63,55,45
421,37,47,81,107,49,33,55,81,49
422,24,44,48,32,64,42,32,44,32
423,65,35,53,35,103,77,53,59,35
424,48,48,74,40,48,132,104,44,36
425,32,56,30,122,88,48,58,38,46
426,51,47,79,55,73,101,55,57,71
427,36,36,48,100,118,70,70,36,40
428,44,52,112,78,44,34,78,42,38
429,57,67,93,73,87,59,85,31,41
430,17,33,27,19,21,29,129,19,51
431,52,70,52,46,104,74,40,46,52
432,51,53,193,87,51,53,43,39,39
433,47,47,65,97,59,61,63,35,111
434,37,41,39,83,65,39,51,35,57
435,43,63,95,45,27,39,39,41,45
436,28,28,60,114,52,96,34,40,26
437,36,40,144,52,136,68,44,40,50
438,52,24,24,74,16,96,56,54,198
439,51,41,97,49,71,31,75,33,51
440,60,32,56,116,72,32,30,70,22
441,26,20,72,150,130,36,46,44,30
442,92,36,74,58,98,56,104,44,56
443,67,47,65,99,47,89,63,41,87
444,42,42,40,50,34,94,110,50,52
445,30,60,54,66,140,60,38,38,38
446,45,141,37,211,275,45,109,55,39
447,67,49,143,61,53,47,77,37,41
448,59,49,57,65,39,75,35,31,27
449,46,46,82,140,86,82,68,54,64
450,41,49,85,51,83,161,283,57,39
451,37,39,95,233,57,53,55,39,59
452,58,76,100,76,128,130,60,34,52
453,46,22,28,68,28,56,88,46,20
454,32,42,30,60,130,52,140,56,60
455,57,43,95,67,81,29,67,37,27
456,37,47,55,43,37,53,39,17,41
457,53,57,53,67,65,71,41,39,211
458,110,60,78,44,120,80,84,54,52
459,39,57,69,71,89,77,29,27,77
460,41,47,79,73,151,29,111,45,49
461,35,29,65,137,59,33,73,43,47
462,29,39,123,53,47,41,41,75,43
463,96,34,34,62,50,44,42,112,58
464,50,48,46,76,82,60,90,48,52
465,43,51,53,55,109,43,41,39,45
466,64,60,92,38,92,28,126,46,52
467,63,55,31,57,69,59,61,55,45
468,32,48,56,72,142,48,70,74,50
469,64,48,38,92,152,64,52,50,70
470,62,60,68,106,138,52,116,72,62
471,37,61,43,153,197,55,89,47,55
472,19,45,87,129,35,59,83,47,33
473,57,39,131,87,91,49,41,63,61
474,19,27,35,89,69,51,37,37,29
475,48,72,48,68,48,60,68,32,40
476,56,36,144,34,68,138,24,38,38
477,63,31,49,63,95,87,53,41,33
478,38,98,64,40,104,50,54,38,52
479,45,63,31,91,57,75,83,31,53
480,56,58,126,104,44,66,38,30,84
481,26,38,86,122,92,60,34,56,54
482,30,36,28,30,44,222,54,44,26
483,48,44,80,70,70,46,80,40,36
484,53,57,41,155,109,73,57,49,55
485,40,56,48,114,46,48,46,34,80
486,53,55,145,71,249,45,43,37,47
487,58,50,46,38,54,80,50,46,64
488,48,50,206,92,80,38,74,108,40
489,59,37,55,75,53,57,39,43,97
490,65,55,133,85,65,71,85,47,57
491,40,60,98,90,196,56,50,64,46
492,87,67,45,25,51,65,55,45,63
493,88,28,54,58,20,26,44,30,34
494,65,43,37,143,83,41,115,45,65
495,40,80,86,64,44,70,46,60,64
496,72,88,56,78,86,64,70,42,48
497,63,81,49,107,61,65,35,155,47
498,60,66,54,82,104,60,94,64,64
499,46,70,106,132,108,140,116,60,60
500,50,42,104,84,60,50,54,52,38
501,38,40,34,50,64,78,78,58,50
502,66,38,42,32,52,58,28,50,56
503,29,83,39,99,53,95,105,61,51
504,39,43,45,53,55,37,55,43,27
505,43,39,33,75,193,53,53,119,57
506,46,84,64,62,142,88,64,50,62
507,53,25,65,33,89,27,39,19,19
508,73,59,89,65,43,157,71,65,45
509,81,47,67,111,63,39,39,53,47
510,67,37,51,105,103,67,51,41,37
511,18,18,18,94,94,34,28,30,30
512,81,69,67,121,69,47,77,47,73
513,50,56,168,74,88,64,54,64,52
514,61,41,73,81,53,49,63,81,53
515,59,67,141,75,129,63,29,39,35
516,57,61,97,65,55,85,111,79,53
517,48,40,84,70,38,54,46,52,56
518,34,32,46,38,100,90,68,28,34
519,138,40,132,70,80,100,32,124,44
520,57,29,109,69,55,55,51,47,85
521,34,42,58,92,56,48,58,70,42
522,63,45,141,93,95,93,61,89,47
523,79,33,91,83,67,47,43,53,37
524,35,17,61,33,79,17,27,27,45
525,62,58,338,86,112,46,68,132,60
526,50,52,76,118,84,38,42,48,56
527,71,63,135,51,51,51,81,43,77
528,34,40,48,236,100,90,104,34,28
529,54,40,36,60,36,42,40,70,26
530,55,85,159,117,85,33,45,61,47
531,41,73,49,55,69,63,79,71,87
532,34,38,18,78,108,26,60,22,26
533,44,34,60,50,58,82,78,42,36
534,62,34,54,62,40,50,90,36,78
535,84,74,54,76,50,70,82,154,46
536,94,52,72,48,136,52,60,54,44
537,35,45,61,125,51,39,57,27,35
538,21,35,41,43,39,47,23,37,23
539,86,56,38,50,62,108,48,38,66
540,38,32,92,50,54,62,40,100,46
541,62,42,32,74,68,52,40,46,76
542,43,59,81,61,91,41,65,73,83
543,50,46,50,100,60,82,42,184,56
544,57,31,101,203,57,47,81,35,39
545,57,39,63,55,53,41,97,89,37
546,55,69,75,71,49,47,77,51,51
547,35,75,97,219,27,69,111,51,67
548,53,55,61,97,45,61,57,49,65
549,37,51,103,57,61,41,49,135,41
550,75,41,105,49,55,45,49,59,59
551,46,84,66,40,82,42,40,52,40
552,57,45,69,47,61,93,27,85,61
553,47,63,47,67,51,201,53,55,47
554,51,49,91,29,93,115,67,53,57
555,37,31,29,111,21,19,145,37,169
556,70,46,44,184,48,68,108,66,36
557,41,103,91,95,91,51,81,37,61
558,61,33,63,97,77,91,49,63,51
559,44,42,46,136,82,62,66,52,60
560,29,35,85,33,111,73,115,35,73
561,61,41,81,77,63,77,71,61,45
562,68,36,60,78,48,48,74,40,40
563,65,97,49,81,61,63,31,45,47
564,51,53,129,111,71,75,81,67,65
565,40,36,74,108,50,22,124,44,34
566,31,39,35,31,55,149,35,49,15
567,103,39,45,35,29,61,35,31,45
568,68,34,238,60,100,58,58,74,36
569,40,48,50,102,24,48,62,26,34
570,32,72,38,52,150,84,48,34,36
571,58,46,54,70,60,86,48,66,44
572,49,39,87,81,63,55,119,39,85
573,35,55,61,53,47,55,63,55,41
574,43,35,79,79,53,47,53,69,51
575,64,54,66,92,60,60,64,38,78
576,31,43,45,57,35,51,39,69,47
577,39,55,47,65,59,39,187,59,55
578,122,56,168,100,110,42,52,42,44
579,31,41,45,47,73,33,59,69,41
580,44,50,162,52,94,36,70,48,36
581,61,39,61,47,45,45,41,41,55
582,61,59,151,59,105,99,45,57,61
583,52,46,52,38,28,38,42,54,38
584,68,54,60,62,34,44,50,46,48
585,51,63,57,83,47,37,61,57,61
586,43,29,181,31,161,65,37,97,53
587,31,23,23,119,57,57,89,45,37
588,41,61,49,69,125,59,73,37,43
589,43,59,107,75,75,133,69,49,119
590,88,106,36,48,44,70,40,148,50
591,52,62,88,158,72,78,72,64,54
592,74,54,64,194,98,60,98,212,50
593,117,37,55,165,57,79,71,41,39
594,57,81,89,75,81,93,69,47,53
595,63,43,101,87,39,37,47,69,65
596,42,92,54,44,60,46,112,30,44
597,57,145,73,69,79,47,55,55,61
598,41,51,75,39,65,55,55,63,35
599,138,56,52,52,66,90,64,76,78
600,36,76,210,100,54,84,44,84,70
601,34,72,26,82,62,60,164,52,16
602,140,58,124,102,56,52,84,58,64
603,91,43,99,103,85,161,47,51,53
604,48,32,126,52,54,70,44,36,54
605,60,62,74,68,94,82,62,50,56
606,58,58,50,70,130,52,120,38,92
607,40,50,28,148,84,54,34,26,48
608,31,51,111,57,53,143,55,195,55
609,70,34,52,92,36,64,62,32,38
610,36,26,38,32,42,50,42,34,24
611,49,59,93,99,73,55,63,45,37
612,66,74,50,346,76,60,52,54,56
613,43,31,51,91,39,35,31,23,43
614,79,57,149,79,71,63,119,57,55
615,55,47,35,55,25,53,91,49,41
616,34,48,48,96,86,46,58,42,24
617,54,64,52,66,54,48,60,26,54
618,44,102,84,56,78,62,210,70,40
619,106,62,52,54,100,70,44,80,44
620,59,33,39,79,99,83,45,41,43
621,65,69,61,57,39,55,57,73,171
622,48,38,94,64,102,52,62,38,42
623,54,50,62,162,58,118,58,38,70
624,60,78,96,108,84,58,58,72,40
625,56,36,90,112,50,50,36,48,44
626,95,59,123,41,65,45,55,55,61
627,39,31,25,53,35,59,75,69,49
628,56,32,44,54,50,44,56,40,154
629,81,77,101,207,211,175,53,69,61
630,51,43,49,225,49,35,35,41,35
631,30,38,50,140,52,58,42,46,74
632,50,58,128,60,60,84,52,46,56
633,101,53,77,63,51,53,79,51,53
634,89,33,47,39,85,65,45,73,47
635,86,40,50,90,86,46,38,40,40
636,86,42,106,80,38,50,66,50,50
637,57,91,123,45,61,45,83,89,65
638,50,48,22,38,52,26,50,64,58
639,76,78,56,140,76,78,50,50,64
640,83,39,43,113,23,73,73,49,29
641,57,33,61,63,117,55,35,59,73
642,55,55,45,91,59,55,53,53,59
643,59,63,61,61,57,53,221,73,59
644,68,32,66,114,28,54,56,32,18
645,90,76,66,64,72,56,60,40,72
646,52,40,64,70,48,60,122,60,140
647,58,78,104,130,82,68,184,66,48
648,29,45,43,53,45,71,99,45,37
649,35,37,73,107,61,33,41,39,77
650,66,56,50,82,50,88,54,46,50
651,47,49,105,117,111,71,67,53,59
652,61,37,213,61,59,49,33,33,37
653,56,48,60,54,40,58,46,64,36
654,31,45,97,87,51,73,33,91,65
655,61,37,53,133,31,75,103,35,45
656,61,55,51,173,55,55,33,45,43
657,38,50,34,68,82,146,48,56,44
658,92,56,46,94,82,38,70,38,56
659,42,44,60,46,34,44,94,56,70
660,67,39,37,55,41,49,37,39,45
661,62,66,112,100,40,72,38,52,46
662,50,52,92,62,76,42,54,42,52
663,55,73,45,91,49,65,65,53,47
664,103,49,45,55,67,65,41,45,53
665,43,49,65,105,85,77,43,91,41
666,39,33,53,37,35,29,51,23,101
667,33,41,49,91,57,119,59,59,37
668,37,77,79,43,39,49,65,43,51
669,33,51,39,43,43,41,55,93,45
670,28,34,58,42,78,88,106,42,42
671,41,47,95,57,61,55,59,31,49
672,37,33,39,45,75,29,27,61,21
673,33,35,83,69,151,31,101,33,33
674,67,69,65,181,89,45,53,41,175
675,90,54,50,132,82,52,46,56,30
676,56,50,70,120,102,72,58,56,48
677,57,57,67,55,63,83,113,47,67
678,76,52,54,80,52,52,64,38,90
679,65,49,51,67,65,103,37,51,45
680,55,37,57,271,137,41,61,33,25
681,83,35,115,113,57,69,101,33,35
682,91,57,71,59,61,111,111,47,63
683,51,71,63,41,53,39,41,33,35
684,77,51,41,57,63,53,57,59,37
685,76,44,132,122,86,54,50,52,54
686,81,43,183,85,189,31,63,51,79
687,95,53,51,99,33,33,71,39,49
688,42,50,38,88,60,58,56,62,166
689,28,20,102,92,68,22,60,26,34
690,74,74,252,110,108,42,46,40,58
691,46,40,62,52,60,52,54,44,38
692,69,39,47,75,71,47,51,41,59
693,131,109,111,125,57,57,91,41,81
694,72,138,50,84,46,68,54,48,62
695,37,59,65,37,43,47,141,45,51
696,33,27,95,129,77,17,37,45,61
697,50,54,60,76,66,44,46,64,62
