Iteration,0,1,2,3,4,5,6,7,8
1,32,38,26,30,42,28,44,28,28
2,38,26,22,26,26,38,26,28,32
3,36,20,46,28,38,26,20,24,24
4,35,25,31,21,19,23,17,23,19
5,15,23,25,33,21,23,31,17,21
6,42,38,34,42,24,40,34,32,30
7,22,36,28,22,24,32,26,24,28
8,34,24,32,42,34,38,32,38,26
9,22,20,26,12,16,16,34,30,30
10,20,30,26,30,26,28,34,46,36
11,36,38,36,20,28,32,50,44,44
12,28,18,32,34,30,26,18,30,24
13,27,23,23,39,27,33,23,27,27
14,38,26,56,54,44,44,28,46,34
15,35,33,39,39,65,29,45,31,37
16,18,32,38,28,28,22,22,30,30
17,45,19,39,33,23,41,19,31,21
18,47,23,35,45,39,23,39,21,25
19,13,19,33,21,21,23,19,25,15
20,36,20,26,44,30,28,30,28,50
21,28,28,24,46,42,22,32,26,22
22,31,35,25,21,33,39,23,23,25
23,40,36,28,32,26,58,26,30,32
24,28,30,38,32,30,28,42,36,34
25,33,33,33,25,33,31,25,31,33
26,24,22,30,38,34,20,26,24,22
27,29,43,29,37,29,33,35,31,25
28,35,45,33,61,39,41,35,31,29
29,29,19,25,25,17,35,35,31,19
30,27,29,27,29,39,27,37,23,37
31,40,28,24,28,24,28,28,22,20
32,24,30,38,24,40,22,36,32,38
33,30,42,34,28,32,32,36,32,30
34,31,31,33,53,33,27,47,21,31
35,23,23,37,21,31,31,27,25,23
36,28,26,34,28,30,30,26,26,22
37,30,24,46,32,36,28,24,28,34
38,47,27,27,39,27,31,39,23,35
39,35,35,27,43,37,39,41,27,25
40,26,22,26,32,32,18,28,26,16
41,27,31,27,41,29,27,27,31,23
42,25,19,25,29,21,17,29,23,21
43,17,23,27,45,21,17,25,17,21
44,31,23,27,23,27,19,39,13,37
45,49,41,25,31,47,35,39,23,33
46,18,18,34,18,18,20,20,24,26
47,28,20,34,32,40,22,18,26,26
48,34,20,44,24,24,28,20,28,42
49,30,32,32,24,34,44,30,34,38
50,26,32,44,36,28,44,28,26,28
51,25,43,53,27,45,35,21,23,27
52,20,26,12,22,28,30,22,22,20
53,35,31,31,51,33,25,33,33,35
54,18,20,32,22,14,24,28,20,16
55,30,24,38,36,22,38,24,26,28
56,30,26,26,24,22,26,40,32,38
57,29,37,35,35,31,33,21,31,33
58,36,24,34,28,32,30,28,40,34
59,32,34,34,36,32,34,50,44,36
60,17,29,35,19,27,17,19,25,25
61,29,21,45,37,23,21,25,25,25
62,19,21,41,33,15,25,21,33,35
63,29,19,33,23,27,25,21,25,35
64,29,19,37,15,33,27,41,23,17
65,35,33,29,31,33,27,31,27,23
66,48,24,20,50,40,24,32,26,38
67,49,47,55,33,31,39,35,31,29
68,27,35,9,13,35,17,19,27,21
69,26,28,22,24,30,32,36,18,24
70,25,21,45,29,27,21,51,25,23
71,23,19,31,25,35,27,21,27,41
72,29,23,35,25,35,27,29,17,27
73,30,24,28,24,20,28,26,20,34
74,30,34,24,50,28,38,44,22,32
75,38,30,30,32,34,36,30,28,30
76,37,37,35,35,31,31,29,53,29
77,34,24,36,34,38,22,34,48,32
78,32,16,22,32,48,34,18,34,14
79,33,31,33,37,39,51,23,47,33
80,25,19,27,47,29,27,25,17,33
81,25,21,23,35,19,21,33,23,31
82,22,24,34,32,24,26,28,24,24
83,33,33,23,37,29,29,25,29,37
84,22,20,32,22,44,20,26,24,24
85,25,27,23,33,47,27,17,25,31
86,23,25,27,31,35,25,23,25,31
87,24,28,42,30,20,24,72,30,32
88,17,23,19,23,23,25,19,21,21
89,25,25,35,31,27,33,35,41,27
90,25,23,31,29,21,23,15,15,21
91,33,31,53,33,35,43,33,33,27
92,32,36,40,20,20,34,28,34,40
93,20,24,20,12,22,14,42,28,20
94,34,30,28,32,46,26,34,22,20
95,27,29,29,41,57,19,41,33,37
96,29,31,27,53,33,23,31,21,25
97,38,26,44,38,20,36,28,34,30
98,43,27,37,45,33,25,19,25,31
99,30,14,26,26,20,20,18,22,34
100,24,28,26,26,22,26,20,28,18
101,25,29,31,35,49,31,33,29,41
102,33,33,47,23,31,47,35,27,31
103,28,26,34,22,22,26,22,36,22
104,20,18,28,22,18,24,28,30,20
105,19,25,23,41,19,17,31,19,19
106,23,7,9,23,19,7,9,23,11
107,22,26,32,38,42,30,24,24,24
108,21,45,39,19,21,33,35,27,39
109,33,19,27,33,33,37,21,33,31
110,29,35,27,29,31,35,43,43,33
111,19,19,17,29,19,15,15,17,15
112,23,27,33,21,29,27,19,17,17
113,25,23,35,27,27,27,23,23,27
114,34,26,36,20,26,22,22,20,18
115,24,22,30,36,32,22,18,22,28
116,22,26,38,32,18,22,42,30,24
117,34,38,42,42,24,24,40,34,26
118,29,23,29,29,27,33,23,21,27
119,38,26,30,34,36,38,22,24,46
120,31,27,41,19,33,31,35,31,27
