Iteration,0,1,2,3,4,5,6,7,8,9
145,19,31,31,21,33,25,41,23,17,25
146,30,40,34,50,30,44,32,48,26,32
147,34,36,30,28,40,24,26,36,34,42
148,35,29,45,25,57,37,63,29,31,35
149,35,31,21,39,37,19,23,23,25,23
150,18,12,8,24,22,12,8,22,22,20
151,35,25,45,37,27,33,49,37,35,27
152,38,44,28,36,20,40,32,26,28,30
153,31,33,43,37,41,57,49,31,37,39
154,28,30,36,28,30,44,32,26,34,34
155,37,25,33,37,23,25,27,33,31,31
156,23,21,19,15,27,39,23,21,15,23
157,42,36,44,28,34,38,34,32,26,30
158,36,26,28,30,26,30,28,30,20,28
159,36,32,42,42,32,40,34,32,54,34
160,22,18,26,24,16,30,28,32,16,30
161,37,29,47,51,39,31,29,33,27,31
162,35,31,43,33,39,31,27,33,33,27
163,36,34,42,34,26,34,32,24,20,40
164,46,22,28,22,40,24,38,16,22,34
165,34,36,36,32,48,40,22,30,52,30
166,26,26,20,34,22,28,40,22,40,38
167,31,29,51,37,19,19,37,27,21,31
168,41,39,23,23,19,33,29,23,31,27
169,47,33,25,37,25,33,35,31,49,33
170,31,25,23,23,19,23,41,39,25,35
171,27,27,35,25,37,29,29,41,33,31
172,33,33,27,29,45,31,29,25,31,29
173,29,27,21,31,43,33,33,35,33,43
174,30,22,32,24,16,32,32,38,40,26
175,46,30,34,44,40,42,40,42,32,52
176,49,33,37,41,35,33,39,23,23,31
177,28,26,26,40,24,20,36,30,28,28
178,16,30,18,18,18,16,20,32,24,14
179,44,48,44,36,32,32,34,32,20,34
180,36,46,48,34,46,46,34,32,42,28
181,27,37,25,25,21,17,37,21,35,35
182,35,25,31,31,27,39,25,39,27,41
183,27,37,43,27,33,35,19,27,33,19
184,43,45,39,49,59,61,43,37,43,35
185,34,38,24,26,24,40,28,34,26,28
186,46,22,40,18,28,36,22,26,26,24
187,45,41,23,31,23,53,21,19,21,35
188,17,23,25,19,21,25,13,23,69,27
189,32,34,32,26,28,36,22,28,28,28
190,29,43,29,33,29,31,33,39,29,25
191,27,27,27,25,37,35,25,23,31,31
192,40,30,24,32,30,20,30,54,34,28
193,26,32,48,42,28,44,38,56,32,36
194,35,31,33,41,35,37,25,29,37,25
195,31,41,47,37,31,31,37,27,27,45
196,40,38,26,28,30,30,38,34,50,32
197,36,34,32,30,24,34,26,34,32,24
198,40,26,40,36,20,32,38,26,34,38
199,51,39,53,45,37,45,37,31,23,39
200,29,29,31,31,25,27,23,35,41,27
201,38,30,24,24,34,52,36,42,24,28
202,34,32,44,40,28,32,36,28,36,30
203,40,20,24,24,48,42,34,24,22,30
204,35,27,47,27,31,41,37,29,39,35
205,40,50,68,34,52,46,30,44,28,28
206,26,22,16,24,36,18,18,22,30,26
207,47,37,55,39,35,41,39,35,31,49
208,29,45,25,41,41,23,53,35,31,43
209,42,34,38,36,48,18,38,24,32,44
210,29,27,33,23,21,29,41,25,39,19
211,32,46,34,42,42,28,32,32,30,40
212,33,51,33,23,33,43,31,27,27,45
213,33,39,45,33,33,29,41,27,35,33
214,37,33,39,45,37,41,31,39,35,33
215,26,28,18,28,48,28,40,22,22,22
216,33,43,53,33,57,49,27,45,37,35
217,26,30,34,28,44,38,24,52,44,30
218,21,29,19,41,17,23,17,19,17,27
219,32,30,28,26,42,36,36,26,26,22
220,26,42,28,30,34,20,20,20,26,46
221,32,30,40,34,30,40,44,32,22,40
222,37,49,27,29,17,29,29,35,25,35
223,32,44,34,32,22,28,36,38,22,26
224,31,35,29,31,29,23,35,29,35,35
225,37,21,45,35,31,33,31,39,39,27
226,33,31,47,33,35,29,35,45,35,41
227,33,29,29,31,39,55,41,27,37,33
228,34,30,18,24,18,20,28,16,36,20
229,26,18,18,34,22,24,18,26,28,22
230,39,33,39,33,49,45,43,47,43,37
231,21,39,31,35,49,33,21,29,49,39
232,37,35,27,19,31,27,31,33,41,27
233,31,35,47,39,29,37,31,29,37,29
234,54,54,30,46,46,34,50,42,54,44
235,35,27,45,31,49,35,27,31,41,29
236,42,28,34,32,30,24,28,22,38,34
237,43,37,33,31,41,35,21,41,35,49
238,23,27,19,35,37,35,29,35,35,35
239,54,50,42,52,40,36,32,32,38,50
240,40,48,42,36,32,54,56,30,40,32
241,23,17,29,45,23,21,13,27,37,29
242,37,19,13,17,39,33,31,17,19,31
243,34,38,24,28,38,46,38,38,54,34
244,39,45,39,39,27,29,35,27,43,33
245,42,42,40,38,36,56,40,32,54,38
