Iteration,0,1,2,3,4,5,6,7,8,9,10
116,31,41,17,21,39,23,25,19,23,23,19
117,64,26,18,22,28,18,16,24,16,22,16
118,27,21,41,21,27,25,25,47,33,27,29
119,42,30,30,30,56,24,32,26,28,32,26
120,20,10,10,10,20,24,12,26,12,12,16
121,34,24,26,42,38,44,30,34,20,26,44
122,25,11,13,17,15,17,15,13,21,13,27
123,41,27,29,29,39,25,37,47,23,29,21
124,17,15,23,25,17,31,17,33,31,31,21
125,39,23,19,21,23,29,21,27,19,21,23
126,39,13,13,25,17,15,21,15,17,15,15
127,15,15,15,19,25,23,13,15,21,21,19
128,21,23,25,29,27,27,23,21,29,29,19
129,19,17,29,17,13,17,17,13,13,13,17
130,34,16,18,28,24,26,18,32,30,22,28
131,53,27,29,39,27,25,23,49,21,21,19
132,62,36,30,36,36,42,34,34,28,24,28
133,7,15,9,13,5,7,7,11,11,9,11
134,59,17,23,19,21,19,21,45,27,17,21
135,41,13,15,15,11,11,13,15,11,11,9
136,26,28,14,10,14,12,12,24,10,14,10
137,20,22,28,30,36,24,28,20,28,30,22
138,31,33,23,29,23,27,23,21,27,23,25
139,24,16,18,20,36,14,16,24,12,26,18
140,22,14,36,16,18,18,22,42,14,18,24
141,31,25,27,23,27,21,21,21,21,23,23
142,18,30,36,36,42,30,28,28,28,28,22
143,30,14,28,36,18,30,20,38,22,24,24
144,22,20,12,18,24,28,14,20,18,16,22
145,11,17,15,13,25,13,7,17,15,13,13
146,20,12,14,16,28,26,20,16,20,16,16
147,34,22,22,20,20,26,26,48,22,18,36
148,21,17,15,15,17,25,17,25,17,25,19
149,43,45,19,35,25,25,21,33,27,19,17
150,11,7,9,11,9,7,11,11,19,7,9
151,19,27,31,29,17,19,23,37,25,27,25
152,43,25,19,29,25,17,29,39,27,19,17
153,29,27,25,29,43,25,23,37,25,25,31
154,40,18,22,22,40,22,22,36,26,28,30
155,63,23,35,21,45,27,21,31,31,25,23
156,22,20,16,18,26,22,20,24,20,18,20
157,15,15,17,19,41,17,9,11,17,23,9
158,38,22,24,28,28,34,22,24,20,28,28
159,38,20,20,26,18,20,20,18,12,22,16
160,33,27,29,29,31,37,33,29,21,27,19
161,25,15,17,13,19,15,13,25,17,17,13
162,16,16,16,20,18,30,26,14,12,12,12
163,27,23,15,15,31,17,15,21,31,19,23
164,21,17,39,23,27,13,21,27,21,37,25
165,19,25,25,31,23,11,21,27,17,37,25
166,30,20,22,16,18,18,12,20,12,22,24
167,12,10,12,22,16,12,12,20,12,12,20
168,40,22,34,30,56,20,22,46,28,22,28
169,30,12,10,14,24,22,12,22,14,10,10
170,29,19,19,17,23,19,19,43,17,27,31
171,16,14,18,20,10,12,10,26,18,14,22
172,23,21,17,25,37,15,33,43,21,17,21
173,17,25,11,17,23,11,9,21,11,9,11
174,17,21,23,25,25,25,21,35,25,21,33
175,25,27,11,31,15,23,19,21,39,31,19
176,27,27,23,23,21,19,27,29,33,23,23
177,42,30,28,22,28,30,26,24,24,28,30
178,26,22,18,20,26,22,20,30,24,24,26
179,16,18,22,22,20,22,20,34,22,20,24
180,21,15,17,15,25,15,23,17,15,15,13
181,13,11,23,11,25,13,13,37,9,11,13
182,35,25,19,19,25,33,17,23,19,21,23
183,36,18,18,16,32,24,20,12,22,18,16
184,14,18,20,24,20,30,22,44,24,36,22
185,41,19,23,15,23,25,25,43,23,15,23
186,26,32,34,34,26,28,34,34,22,30,26
187,25,23,15,15,29,21,29,25,17,15,13
188,26,12,16,24,40,22,26,24,18,16,24
189,36,14,16,14,36,16,16,16,14,16,22
190,20,28,16,16,24,24,26,32,16,22,46
191,32,30,34,24,28,20,24,46,32,26,28
192,24,24,20,34,24,22,18,32,20,26,18
193,25,23,27,25,31,27,33,33,31,33,25
194,17,17,13,19,33,13,19,25,19,17,15
195,61,39,25,25,49,35,23,27,27,25,29
196,20,18,24,20,22,22,24,34,22,26,20
197,16,24,16,32,28,24,26,24,22,20,22
198,31,23,27,17,17,23,23,53,25,23,29
199,32,12,18,20,24,14,22,22,16,16,14
200,34,26,26,24,48,42,42,40,28,22,28
201,14,28,14,14,26,12,16,8,12,8,12
202,13,17,27,21,25,21,21,13,21,17,21
203,26,18,18,12,12,20,16,14,12,12,20
204,31,29,19,19,17,17,15,41,21,21,23
205,44,18,20,24,30,14,24,24,16,20,12
206,16,22,22,24,24,28,44,40,20,30,44
207,18,20,20,20,26,32,14,22,24,20,28
208,23,21,29,25,33,31,25,21,19,39,23
209,57,31,25,23,35,25,27,35,21,27,31
210,21,19,35,27,35,33,25,21,27,29,25
211,24,22,30,26,18,24,34,26,18,18,26
212,32,28,28,24,42,18,34,18,18,32,18
213,56,28,20,22,22,22,24,16,30,22,26
214,70,18,20,24,24,24,24,18,18,20,20
215,23,15,11,17,19,21,27,13,13,15,23
216,4,12,4,6,16,12,6,6,6,6,4
217,37,21,19,33,23,27,27,31,25,29,29
218,17,13,19,25,17,13,19,9,23,13,9
219,31,37,21,27,27,27,27,25,17,27,25
220,27,25,27,17,15,27,21,27,23,27,21
221,36,24,22,26,20,22,16,20,20,22,26
222,32,30,32,24,16,20,22,22,22,30,22
223,28,34,30,26,30,28,44,46,24,28,32
224,17,13,11,13,11,11,11,11,11,11,11
225,51,25,25,29,21,27,25,37,21,25,29
226,60,26,26,22,28,22,22,46,26,24,26
227,19,17,15,17,19,19,15,45,21,19,21
228,16,20,18,16,38,28,20,18,18,28,18
229,24,16,24,16,10,30,22,22,30,22,18
230,30,18,12,12,34,8,10,12,8,14,10
231,31,15,23,15,23,27,21,13,13,15,13
232,31,31,35,35,33,25,35,35,33,31,19
233,16,26,22,16,24,18,28,20,18,18,20
234,14,4,4,6,6,4,6,6,6,4,4
235,49,37,35,17,27,23,19,19,23,31,21
236,31,35,51,27,33,45,51,39,27,39,39
237,45,21,17,17,11,17,11,43,15,11,25
238,37,27,31,43,21,31,31,23,21,23,25
239,25,21,21,17,27,13,33,25,25,15,19
240,20,12,14,10,22,12,14,24,8,28,12
241,18,20,12,12,8,12,18,24,12,12,12
242,40,18,36,22,32,30,14,34,20,18,20
243,18,48,24,18,38,16,28,22,20,20,20
244,15,23,15,29,25,13,21,33,15,23,19
245,34,24,26,28,38,28,24,28,24,22,26
246,50,20,18,28,42,24,16,16,14,18,22
247,16,14,12,20,34,16,16,32,18,12,14
248,40,22,28,16,26,28,18,22,34,28,14
249,12,10,10,16,18,16,10,12,16,22,12
250,20,18,14,12,16,12,8,16,10,10,10
251,28,18,16,14,18,24,22,14,10,24,18
252,47,33,25,33,29,19,25,17,29,27,15
253,19,13,23,15,21,19,19,43,13,13,15
254,17,13,17,13,23,39,15,15,17,13,15
255,25,27,23,35,21,23,15,31,29,27,23
256,60,24,16,28,52,20,18,26,16,20,22
257,30,24,16,22,16,24,16,18,20,20,16
258,44,18,24,18,32,20,24,26,28,22,22
259,32,16,20,22,32,20,22,16,20,16,22
260,42,22,30,18,30,22,20,16,26,24,36
261,24,16,26,24,40,28,28,44,22,24,32
262,53,21,35,21,17,21,17,21,23,21,23
263,27,27,27,25,23,25,27,31,25,37,23
264,25,21,25,17,27,19,29,19,19,25,21
265,33,19,25,23,29,25,25,33,21,29,25
266,41,13,15,33,17,13,23,13,25,43,9
267,34,18,16,14,16,14,18,18,26,18,18
268,24,20,14,16,22,12,18,42,20,24,16
269,22,28,26,28,36,16,28,46,26,16,28
270,27,23,23,31,29,35,25,27,21,29,23
271,25,13,15,17,13,17,11,21,15,13,15
272,29,27,31,23,21,21,21,33,19,25,31
273,33,31,27,29,25,39,27,31,33,31,37
274,32,20,14,30,18,18,14,24,14,26,18
275,32,22,16,16,28,16,26,18,26,16,16
276,46,30,24,28,26,34,30,24,30,22,28
277,37,29,35,25,31,27,37,27,33,25,29
278,40,38,24,32,58,48,36,48,36,34,22
279,16,14,14,12,30,16,16,20,14,14,16
280,39,21,17,21,21,21,29,27,23,27,27
281,35,33,33,23,43,33,29,21,29,29,37
282,16,18,28,18,24,16,20,14,18,22,32
283,23,11,11,11,9,11,11,9,11,9,11
284,21,19,23,31,25,13,17,27,15,23,15
285,21,27,21,21,25,23,25,23,29,19,23
286,33,35,31,33,39,17,27,19,21,17,21
287,31,21,31,37,29,39,25,29,23,19,23
288,25,17,21,23,29,29,35,27,31,25,29
289,18,10,10,14,8,14,12,38,10,10,8
