Iteration,0,1,2,3,4,5,6,7,8,9
1,11,11,11,11,11,13,11,7,7,7
2,22,16,14,16,36,16,16,16,18,16
3,18,16,16,14,14,18,16,14,14,16
4,15,17,17,19,17,15,17,17,17,13
5,19,19,15,41,15,17,17,17,17,17
6,28,16,14,16,18,16,14,16,16,24
7,12,12,12,16,18,16,18,24,12,28
8,11,11,17,11,17,21,13,21,11,25
9,24,10,8,10,8,8,6,6,10,8
10,22,12,18,14,10,14,14,14,12,12
11,16,18,10,10,12,10,12,12,12,8
12,16,12,14,12,12,12,14,12,12,12
13,30,22,20,20,18,14,28,18,18,18
14,51,13,19,13,15,15,13,11,11,13
15,27,9,11,11,13,13,9,11,9,9
16,19,13,13,15,11,11,15,13,13,11
17,17,9,9,9,7,9,7,11,7,7
18,22,18,24,18,20,20,28,18,16,20
19,35,13,13,11,11,11,13,11,13,13
20,24,22,20,14,16,12,22,12,18,12
21,8,10,6,8,10,6,8,8,10,8
22,13,7,15,7,7,7,7,7,7,9
23,25,19,13,15,13,13,11,13,15,17
24,8,10,12,16,10,8,10,8,10,12
25,14,24,14,12,8,12,14,10,14,12
26,63,13,13,15,11,9,13,11,25,11
27,14,16,18,14,12,10,10,12,12,12
28,33,29,21,27,17,25,17,19,21,21
29,23,17,23,19,13,21,19,15,17,17
30,12,16,14,12,12,14,14,14,8,14
31,27,9,11,11,11,11,13,13,13,11
32,36,14,20,16,16,18,16,20,18,18
33,39,17,15,13,19,15,19,17,15,17
34,15,19,17,19,41,13,15,15,19,13
35,94,24,12,12,10,8,8,8,10,10
36,12,6,10,8,6,8,8,8,10,6
37,24,16,16,16,16,16,18,16,22,16
38,32,14,22,16,12,14,12,12,12,14
39,18,18,14,20,16,14,20,18,18,18
40,36,10,12,12,18,14,14,12,14,14
41,31,13,13,15,11,19,7,11,13,13
42,17,17,19,15,17,17,15,13,15,13
43,47,15,15,25,17,17,15,13,19,13
44,15,19,15,21,13,17,25,17,17,17
45,35,17,15,13,15,13,15,17,15,13
46,13,19,13,15,13,15,13,27,9,11
47,26,16,16,16,16,16,20,16,18,12
48,18,20,16,18,18,18,16,16,18,28
49,24,24,18,28,22,24,24,16,24,28
50,15,15,13,17,19,15,15,17,15,15
51,19,11,13,11,11,13,11,13,13,19
52,15,33,15,21,13,15,17,21,15,17
53,24,16,14,16,12,16,18,18,20,16
54,18,8,8,6,8,8,8,8,22,6
55,15,13,11,15,9,11,13,11,11,15
56,19,13,15,13,27,19,13,19,11,13
57,28,16,32,14,12,14,12,14,14,12
