,rank,count
0,0,81
1,1,6
2,2,6
3,3,21
4,4,27
5,5,27
6,6,21
7,7,45
8,8,42
9,9,21
10,10,33
11,11,78
12,12,60
13,13,42
14,14,60
15,15,102
16,16,93
17,17,108
18,18,90
19,19,84
20,20,84
21,21,57
22,22,75
23,23,117
24,24,90
25,25,99
26,26,138
27,27,105
28,28,96
29,29,135
30,30,141
31,31,129
32,32,132
33,33,150
34,34,177
35,35,210
36,36,219
37,37,270
38,38,240
39,39,267
40,40,222
41,41,201
42,42,168
43,43,144
44,44,123
45,45,102
46,46,138
47,47,117
48,48,102
49,49,99
50,50,108
51,51,126
52,52,105
53,53,105
54,54,93
55,55,156
56,56,108
57,57,120
58,58,75
59,59,84
60,60,48
61,61,30
62,62,6
63,63,3
