,rank,count
0,0,105
1,1,6
2,2,6
3,3,21
4,4,30
5,5,30
6,6,24
7,7,51
8,8,48
9,9,27
10,10,39
11,11,84
12,12,69
13,13,54
14,14,72
15,15,96
16,16,87
17,17,111
18,18,135
19,19,135
20,20,150
21,21,150
22,22,180
23,23,240
24,24,237
25,25,228
26,26,222
27,27,243
28,28,234
29,29,204
30,30,270
31,31,315
32,32,291
33,33,318
34,34,351
35,35,342
36,36,402
37,37,357
38,38,426
39,39,378
40,40,441
41,41,429
42,42,411
43,43,483
44,44,468
45,45,468
46,46,480
47,47,609
48,48,549
49,49,564
50,50,672
51,51,684
52,52,732
53,53,858
54,54,870
55,55,1059
56,56,1128
57,57,1215
58,58,1323
59,59,1326
60,60,1395
61,61,1359
62,62,1314
63,63,1158
64,64,1125
65,65,1110
66,66,1083
67,67,894
68,68,861
69,69,723
70,70,738
71,71,828
72,72,849
73,73,741
74,74,729
75,75,906
76,76,864
77,77,915
78,78,936
79,79,1122
80,80,1167
81,81,1224
82,82,1269
83,83,1380
84,84,1338
85,85,1329
86,86,1293
87,87,1200
88,88,1083
89,89,852
90,90,756
91,91,693
92,92,588
93,93,465
94,94,468
95,95,474
96,96,366
97,97,369
98,98,306
99,99,246
100,100,246
101,101,159
102,102,132
103,103,99
104,104,66
105,105,57
106,106,42
107,107,69
108,108,75
109,109,30
110,110,18
111,111,3
