Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-15,409600,150,0,0,409600,150
-14,0,47195,0,0,0,47195
-13,286720,497740,0,0,286720,497740
-12,0,122364,0,0,0,122364
-11,433664,101498,0,0,433664,101498
-10,0,90174,0,0,0,90174
-9,1400064,1094784,0,0,1400064,1094784
-8,0,213357,0,0,0,213357
-7,2050048,1601910,0,0,2050048,1601910
-6,0,169509,0,0,0,169509
-5,2741760,2604878,0,0,2741760,2604878
-4,0,277703,0,0,0,277703
-3,2023424,2112756,0,0,2138624,2112756
-2,0,1652458,0,0,0,1864309
-1,43020032,41050160,0,0,58860800,56233953
0,0,727444,0,0,0,2179627
1,0,1232,150,150,37035882,35544248
2,0,0,0,0,0,1201760
3,0,0,0,0,1921536,1745273
4,0,0,0,0,0,216290
5,0,0,0,0,2452736,2363548
6,0,0,0,0,0,153664
7,0,0,0,0,2217216,1817488
8,0,0,0,0,0,275681
9,0,0,0,0,2177792,1994115
10,0,0,0,15,0,391111
11,0,0,30,15,1729762,1253318
12,0,0,0,0,0,307203
13,0,0,0,0,1001472,1106610
14,0,0,0,15,0,248120
15,0,0,30,15,1336290,1035370
16,0,0,0,0,0,146425
17,0,0,0,0,819200,1035
