Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-15,0,18,0,0,0,18
-14,0,1178,0,0,0,1178
-13,5120,3947,0,0,5120,3947
-12,0,118219,0,0,0,118219
-11,1732096,1241750,0,0,1732096,1241750
-10,0,420347,0,0,0,420514
-9,913920,779465,0,0,916480,781858
-8,0,247184,0,0,0,249608
-7,2514944,2215830,0,0,2551296,2249758
-6,0,255788,0,0,0,257396
-5,4003840,3476842,0,0,4084736,3556112
-4,0,433652,0,0,0,433958
-3,3137024,2633300,0,0,3219968,2715494
-2,0,2359482,0,0,0,2706846
-1,56219136,53309946,0,0,76979712,72510945
0,0,1029132,0,0,0,3260206
1,0,0,162,162,48316766,45899152
2,0,0,0,0,0,1798666
3,0,0,0,0,2656768,2234136
4,0,0,0,0,0,346918
5,0,0,0,0,3516416,3081798
6,0,0,0,0,0,238825
7,0,0,0,0,2860544,2549134
8,0,0,0,0,0,246838
9,0,0,0,0,1658880,1471231
10,0,0,0,3,0,596877
11,0,0,6,3,3714554,2951050
12,0,0,0,24,0,748337
13,0,0,54,30,3336138,2522383
14,0,0,0,0,0,377851
15,0,0,0,0,163840,116399
16,0,0,0,0,0,25630
17,0,0,0,0,0,282
