Rank,Count (Max),Count (Avg)
0,5,5
1,36,36
2,113,113
3,213,213
4,296,304
5,373,378
6,510,576
7,768,772
8,1050,1095
9,1111,1211
10,931,1097
11,764,1159
12,729,1339
13,773,1366
14,872,1135
15,969,580
16,924,134
17,665,7
18,320,0
19,88,0
20,10,0
