Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-21,589824,556488,0,0,589824,556488
-20,0,33336,0,0,0,33336
-19,5120,5120,0,0,5120,5120
-18,0,9,0,0,0,9
-17,48384,48375,0,0,48384,48375
-16,0,36,0,0,0,36
-15,202752,202716,0,0,202752,202716
-13,494592,494592,0,0,494592,494592
-11,774144,774144,0,0,774144,774144
-9,806400,806400,0,0,806400,806400
-7,559104,544152,0,0,559104,544152
-6,0,14952,0,0,0,14952
-5,248832,226044,0,0,248832,226044
-4,0,22788,0,0,0,22788
-3,64512,51867,0,0,64512,51867
-2,0,362898,0,0,0,399942
-1,31857920,31434965,0,0,45423872,44908388
0,0,72702,0,0,0,200889
1,0,0,90,90,27728550,27454779
2,0,0,0,0,0,212877
3,0,0,0,0,59904,48096
4,0,0,0,0,0,20412
5,0,0,0,0,232704,212292
6,0,0,0,0,0,14112
7,0,0,0,0,534528,520416
9,0,0,0,0,806400,806400
11,0,0,0,0,838656,838656
13,0,0,0,0,612864,612864
15,0,0,0,0,313344,313344
17,0,0,0,0,108288,108288
19,0,0,0,0,23040,23040
20,0,0,0,0,0,33660
21,0,0,0,0,1181952,1148292
22,0,0,0,9,0,20448
23,0,0,18,9,1179630,1159182
