node,-3,-2,-1,0,1,2,3
0,0,0,512,1024,512,0,0
1,192,640,1344,1792,1344,640,192
2,0,0,512,1024,512,0,0
3,96,576,1440,1920,1440,576,96
4,0,0,512,1024,512,0,0
5,192,640,1344,1792,1344,640,192
6,0,0,512,1024,512,0,0
7,0,0,512,1024,512,0,0
