Rank,Count (Max),Count (Avg)
0,5,5
1,36,36
2,121,121
3,274,274
4,449,449
5,679,679
6,963,963
7,1252,1252
8,1513,1513
9,1563,1563
10,1424,1424
11,1207,1207
12,940,940
13,585,585
14,303,303
15,148,148
16,39,39
17,15,15
18,3,3
19,1,1
