node,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,106,532,1363,6095,3920,9205,27935,80971,66948,128484,71529,86780,70342,143798,292263,2109867,757043,2798916,259219,83772,39981,59397,48936,75296,20998,4008,2793,5076,1245,721,61
1,0,0,0,0,0,194,14524,62458,42311,97064,53719,61187,43645,84230,262940,1820549,725723,2592016,255338,51596,23554,39519,37692,59747,7888,106,0,0,0,0,0
2,0,0,0,0,0,210,14613,62513,41964,97205,53270,59212,43569,78224,277633,1777794,808012,2532213,272774,49171,22901,39540,37364,59781,7929,108,0,0,0,0,0
3,166,822,927,7800,3001,8372,33230,109033,60048,139930,72275,124052,174572,303131,370008,1688605,446996,2448008,436808,343134,227383,159599,57993,28502,6361,4369,1187,1264,24,0,0
4,0,27,510,7113,2955,9097,45560,109480,66873,138038,66802,176633,217844,317121,342312,1687678,601935,2378270,402763,347292,258913,206448,60171,30372,7201,4236,624,1713,19,0,0
5,0,0,42,4082,3084,4394,23553,58040,59672,63248,50395,122139,163136,191681,278506,1956105,562038,2778905,335045,210147,190077,136727,37011,8269,9242,10609,1009,444,0,0,0
6,0,0,34,2601,1938,2312,9940,38726,43554,70902,48796,62956,81751,173447,313560,1863146,441707,2903832,435454,228899,102508,50113,18453,12198,2814,944,1035,380,0,0,0
