node,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
0,12311,324953,63909,548315,221874,764138,161323,1792316,498889,632809,460470,11232504,1104618,15738739,701288,554523,273202,866256,132330,225372,115791,270499,3731
1,0,0,0,150,13032,439419,138115,484689,114474,530439,143048,8262076,615917,14825883,537163,1349251,68469,2995,0,0,0,0,0
2,12320,301476,50761,292210,133133,1128467,174699,1813937,490432,1235262,914232,11579824,787142,15095462,1160992,1168409,334612,942032,123571,717280,54125,24739,51
3,0,0,0,0,18568,391185,65842,297461,58344,544413,115107,8239603,1132855,15167654,351689,1098958,43430,11,0,0,0,0,0
4,0,0,0,0,18568,391185,65842,297461,58344,544413,106805,8188827,1318706,15049183,343387,1098958,43430,11,0,0,0,0,0
5,1857,271877,21625,219938,48344,1017029,622389,1948160,1180065,1214768,1578784,11412799,2055467,13233815,1976319,1183566,844854,1010052,332697,457854,61,0,0
6,0,0,0,0,2383,168684,156576,127583,80944,446097,64830,8148505,1991644,15275543,443635,614201,4495,0,0,0,0,0,0
7,0,0,0,0,2383,168684,156576,127583,80944,446097,63488,8099981,2142682,15175713,442293,614201,4495,0,0,0,0,0,0
8,0,0,0,0,2383,168684,156576,127583,80944,446097,62990,8068079,2240484,15110809,441795,614201,4495,0,0,0,0,0,0
9,0,0,0,0,2383,168684,156576,127583,80944,446097,62900,8048366,2300093,15071093,441705,614201,4495,0,0,0,0,0,0
