node,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,62,1579,7236,12838,21513,23626,25600,24319,30287,44693,37431,43048,78306,552320,251954,726124,84437,23625,19385,24948,18521,13915,14774,10786,6767,1776,130,0
1,0,65,1936,8277,14087,16258,18020,20113,19441,19583,28306,36835,59365,94267,551010,218223,745436,99427,43900,24480,21424,15837,16946,15095,6887,3586,1108,88,0
2,322,1228,4867,13130,12442,11996,13609,11327,13618,20420,40644,52973,54956,116147,526878,218580,675714,136591,48369,40586,31689,23685,16726,7266,2870,2143,896,318,10
3,1,139,1873,8258,11505,16757,15300,14470,23227,23407,32590,38008,44864,81880,548599,219563,761333,90993,39822,33421,32893,24751,21204,8310,3422,2506,791,113,0
4,1,488,3212,11079,12300,12838,11820,11522,19735,27840,38805,37611,41490,79043,543454,196907,765090,97663,46235,42265,43480,30781,16462,5692,2573,1088,514,12,0
5,0,21,1205,3054,8928,13728,15711,18297,18964,15778,19196,23826,49317,99525,518567,241811,784890,130688,64560,28564,14851,9514,7199,5495,4197,1780,334,0,0
