Rank,Count (Max),Count (Avg)
0,9,9
1,162,162
2,1383,1383
3,7436,7436
4,28241,28243
5,80630,80677
6,179404,179707
7,317864,319564
8,457622,465057
9,544045,565905
10,539841,595043
11,458826,568037
12,344391,518645
13,244714,469002
14,183035,413459
15,157439,346807
16,151709,270266
17,153436,193354
18,155394,121268
19,153092,62295
20,147033,24526
21,140741,7738
22,134303,2493
23,127849,1112
24,122704,469
25,115651,167
26,103810,48
27,82838,8
28,57354,0
29,31950,0
30,14175,0
31,4638,0
32,1025,0
33,129,0
34,7,0
