Rank,Count (Max),Count (Avg)
0,9,9
1,162,162
2,1381,1381
3,7436,7436
4,28329,28329
5,80971,80980
6,180835,181061
7,323302,324771
8,472202,478371
9,573067,592783
10,589799,639334
11,527585,624355
12,423888,575267
13,322279,507263
14,248169,421602
15,203569,318191
16,177702,212238
17,160267,124108
18,144393,62741
19,130580,29484
20,119253,14535
21,110841,8339
22,104114,5153
23,93404,2928
24,78116,1342
25,58513,515
26,38900,168
27,23287,29
28,12131,5
29,5552,0
30,2094,0
31,610,0
32,124,0
33,15,0
34,1,0
