Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-19,3423,0,0,0,3761,0
-17,42763,0,0,0,50950,0
-15,289803,1,0,0,416176,480
-14,0,13,0,0,0,2414
-13,502782,74,0,0,862394,7037
-12,0,368,0,0,0,7903
-11,594650,1644,0,0,1196570,28180
-10,0,5344,0,0,0,25641
-9,764570,15107,0,0,1653209,91067
-8,0,36135,0,0,0,104377
-7,973654,91764,0,0,2290734,328392
-6,0,194977,0,0,0,454307
-5,1270960,412767,0,0,3226326,1174801
-4,0,742813,0,0,0,1674152
-3,1800969,1153351,0,0,5031806,3478677
-2,0,2171536,0,0,0,4959365
-1,11818330,11214356,0,0,33029668,32105683
0,0,1414461,0,0,0,6485203
1,0,341115,90,90,20660815,20150625
2,0,134581,0,0,0,3725055
3,0,56623,3,3,4310581,2966518
4,0,32646,0,0,0,1484647
5,0,17786,1,1,2945517,1243124
6,0,11581,0,0,0,635054
7,0,6941,2,3,2188732,693686
8,0,3929,0,0,0,410135
9,0,1495,6,6,1627472,335540
10,0,370,0,0,0,119491
11,0,112,1,0,1181125,81437
12,0,14,0,0,0,22818
13,0,0,2,2,856665,22835
14,0,0,0,0,0,8533
15,0,0,3,3,701608,6149
16,0,0,0,0,0,3663
17,0,0,0,0,502823,407
19,0,0,0,0,91286,0
21,0,0,0,0,9178,0
