Rank,Count (Max),Count (Avg)
0,9,9
1,162,162
2,1381,1381
3,7428,7428
4,28171,28172
5,80084,80131
6,177015,177359
7,310868,312622
8,442166,449009
9,513229,534049
10,493744,544303
11,399290,494160
12,277944,421342
13,181875,355882
14,129275,298414
15,114726,252392
16,120148,226258
17,133876,217132
18,140990,215767
19,142296,204999
20,138455,174894
21,130081,125892
22,124907,71744
23,130681,32202
24,148280,12197
25,169901,3825
26,185298,951
27,178165,183
28,147266,20
29,100613,1
30,57016,0
31,25861,0
32,9010,0
33,2274,0
34,364,0
35,30,0
36,1,0
