Rank,Count (Max),Count (Avg)
0,15,15
1,240,240
2,1800,1800
3,8400,8400
4,27300,27300
5,65525,65525
6,120200,120215
7,172218,172203
8,196126,196186
9,182703,182688
10,151145,151220
11,135575,135880
12,159310,160885
13,221373,227293
14,301439,316804
15,371331,395751
16,405556,414161
17,394226,406242
18,354441,352479
19,322368,330460
20,322291,302985
21,343064,350210
22,352242,336394
23,331923,331592
24,292618,309427
25,254245,303143
26,225853,293584
27,206759,279852
28,195915,261750
29,192769,241121
30,194501,213668
31,196447,175955
32,191644,130843
33,171186,81575
34,131889,41487
35,83286,15582
36,41396,4247
37,15593,781
38,4250,85
39,781,4
40,85,0
41,4,0
