node,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,37,5986,64977,61400,166338,120484,177912,160909,328496,326130,336926,296072,256566,256979,260368,808384,5598558,2189068,7326366,860650,143172,139427,143450,165795,184885,166394,158112,74388,98256,48889,68664,5947,15
1,76,3794,58884,74079,110126,104904,118669,125543,174132,145468,232817,248054,279704,332220,444648,900354,5621403,1912984,7632188,909833,355282,236209,238767,181269,147646,76439,69039,99734,107967,39277,17104,1357,30
2,71,7010,71756,62422,137040,104547,130076,154635,270592,261442,219849,176282,218199,348313,433041,802991,5639467,1987429,7551698,819020,331324,232697,189422,143613,156639,137160,123645,104283,123333,31333,27960,2692,19
3,153,7547,63792,82072,104574,93089,135842,137077,204099,152010,202670,237566,232276,272459,408789,795940,5737893,2183320,7715697,799153,282985,169906,196754,195617,125251,71850,100774,105671,115490,44349,23158,2139,38
4,3,826,33585,108650,70492,107583,85985,107096,228709,268254,222965,214277,245904,321428,356523,839076,5405636,1810263,7580595,964460,377122,363885,288117,205527,194040,243878,236772,90116,26699,1523,10,1,0
5,194,9856,65283,68717,93367,64082,41885,69302,141734,171331,255324,288386,346523,364826,481099,1085637,5024549,1314156,7525830,1441265,548706,424252,406506,325644,212446,134208,70048,20550,4209,85,0,0,0
6,5,366,4751,30203,57914,93458,106039,131518,175999,159575,161468,151202,206598,315346,582014,1078890,5104169,1719786,7653934,1506151,736250,421303,236917,122624,69100,65831,44139,33372,21808,8770,499,1,0
