,rank effect,count
0,-17,4283
1,-16,7993
2,-15,6055
3,-14,6397
4,-13,1384
5,-12,62
6,-11,4182
7,-10,252
8,-9,7200
9,-8,1360
10,-7,7935
11,-6,2625
12,-5,4792
13,-4,3040
14,-3,2157
15,-2,7883
16,-1,190295
17,0,26163
18,1,309203
19,2,10829
20,3,2356
21,4,3626
22,5,4968
23,6,3389
24,7,7491
25,8,1830
26,9,5710
27,10,483
28,11,2445
29,12,98
30,13,482
31,14,4196
32,15,1908
