node,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,68,493,1288,1172,4587,6122,6532,11184,9160,8167,8580,25474,149826,44953,193265,25557,5934,6042,5737,5873,2015,653,1170,340,96
1,0,349,846,734,2757,5536,6408,8089,7650,4916,12553,30197,146841,38724,195003,31205,12738,8151,5960,2695,2075,487,286,88,0
2,1,531,1272,1106,2675,6135,6441,7757,6669,6258,15531,20201,145679,46980,201632,21314,17214,7102,3374,2927,1405,693,1008,382,1
3,117,251,1328,369,1479,4888,6105,6852,7169,6699,16043,18516,143488,46234,205838,20128,21152,8786,4015,3344,1105,120,262,0,0
4,0,584,910,1031,1530,4971,7348,5888,7153,5913,16837,16209,140806,51742,204847,19694,23698,7265,3415,1681,1734,389,343,300,0
5,0,313,1252,681,1428,4054,6581,5814,5973,9189,16579,21796,136934,33847,213582,28841,20943,9410,4109,1702,827,211,222,0,0
