node,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,325,41,1092,1049,2218,1552,2523,1291,1970,2523,22720,8170,31464,2786,1256,939,1554,1008,704,85,266,0,0
1,0,0,338,25,777,1058,1496,1094,1472,1057,2665,2052,23875,6748,33310,2590,2900,1641,1404,356,582,15,81,0,0
2,11,117,332,232,1209,1124,2125,1596,2321,936,1886,3636,21391,8555,30206,3993,1286,815,1395,1091,717,124,326,98,14
3,1,109,315,304,911,1024,1708,866,1447,1204,2474,1505,23004,8318,32408,2160,3027,1970,1559,327,634,119,48,93,1
4,0,109,257,143,461,1194,1192,1447,1666,769,2610,3486,21458,4971,33311,4976,4918,949,841,394,251,37,95,1,0
5,1,112,199,241,612,843,1380,1055,1427,819,2720,2890,22638,4652,35322,4033,3990,949,857,412,236,33,113,2,0
