Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-11,15,0,0,0,15,0
-9,59,0,0,0,60,0
-7,360,1,0,0,428,2
-6,0,26,0,0,0,84
-5,1966,206,0,0,2515,420
-4,0,734,0,0,0,1093
-3,7083,3260,0,0,9624,4339
-2,0,7249,0,0,0,9830
-1,30251,23112,0,0,44208,32234
0,0,7428,0,0,0,17403
1,4652,2739,29,29,34615,24816
2,0,568,0,0,0,7359
3,950,136,0,0,8584,4106
4,0,12,0,0,0,1835
5,123,3,0,8,3974,1933
6,0,0,0,9,0,790
7,15,0,16,0,1938,326
8,0,0,0,1,0,76
9,0,0,0,0,506,53
10,0,0,0,0,0,4
11,0,0,1,0,183,2
13,0,0,1,0,55,0
