Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-11,60,0,0,0,118,15
-10,0,1,0,0,0,3
-9,116,0,0,0,256,38
-8,0,9,0,0,0,20
-7,404,28,0,0,1043,271
-6,0,49,0,0,0,242
-5,1651,206,0,0,3912,1442
-4,0,430,0,0,0,1380
-3,3474,1517,0,0,9589,5828
-2,0,3003,0,0,0,6977
-1,18587,15574,0,0,42245,34739
0,0,2472,0,0,0,10848
1,0,699,29,29,32435,27063
2,0,198,0,0,0,5565
3,0,65,6,6,9191,5812
4,0,25,0,0,0,1782
5,0,12,4,4,4438,2684
6,0,2,0,2,0,817
7,0,2,6,4,2152,775
8,0,0,0,0,0,152
9,0,0,0,0,850,157
10,0,0,0,0,0,26
11,0,0,1,1,350,44
12,0,0,0,0,0,2
13,0,0,1,1,126,23
