,rank effect,count
0,-8,39243
1,-7,646068
2,-6,255455
3,-5,897694
4,-4,315092
5,-3,853911
6,-2,337203
7,-1,11353425
8,0,1633875
9,1,18051210
10,2,716887
11,3,1425282
12,4,190252
13,5,216664
14,6,13659
