Rank,Count (Max),Count (Avg)
0,9,9
1,162,162
2,1384,1384
3,7426,7427
4,28179,28186
5,80374,80418
6,178473,178826
7,316344,318117
8,454064,460893
9,533715,556742
10,522082,580761
11,430485,547716
12,313351,501112
13,216690,455412
14,163769,412011
15,147771,355967
16,151032,287800
17,159301,212536
18,162552,138822
19,164777,75821
20,162210,31777
21,158644,8960
22,155335,1684
23,148534,268
24,137368,58
25,123566,7
26,105291,3
27,83906,1
28,61874,0
29,39785,0
30,21245,0
31,9170,0
32,3082,0
33,773,0
34,139,0
35,17,0
36,1,0
