node,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,2,33,832,2344,1996,3591,3168,2141,3220,12976,80348,39006,119508,18017,1831,1546,1971,2071,300,11,0,0,0,0,0
1,82,662,1274,1309,1558,1199,3542,4281,4866,6414,3389,4468,13650,113151,49068,155949,12178,3477,2401,4181,2643,513,388,661,1066,702,144,0
2,79,653,1279,1303,1562,1195,3536,4272,4857,6390,3393,4326,14483,111544,49757,155387,13167,3350,2405,4173,2650,494,395,663,1067,693,143,0
3,221,2049,4170,4276,4565,4075,5765,7913,6251,4988,7379,18534,18053,92793,30258,138245,23063,23527,10056,3650,3681,4710,3060,2376,1725,531,66,4
4,36,436,1160,568,957,2611,3624,5224,3691,4548,7955,11684,17178,99828,30564,138049,27641,15990,12418,5567,1274,944,800,310,148,11,0,0
5,31,234,1270,589,988,2599,3872,4754,3937,4523,6938,11104,19961,98023,31714,135920,31628,16372,10791,4561,1072,843,735,520,226,11,0,0
