,rank effect,count
0,-11,248
1,-10,6263
2,-9,27932
3,-8,45394
4,-7,74878
5,-6,50740
6,-5,73541
7,-4,45713
8,-3,101381
9,-2,121197
10,-1,967130
11,0,265557
12,1,1381798
13,2,152172
14,3,135925
15,4,52854
16,5,50318
17,6,23578
18,7,12865
19,8,2969
20,9,59
