Rank,Count (Max),Count (Avg)
0,15,15
1,219,219
2,1499,1499
3,6385,6386
4,19157,19196
5,42911,43157
6,74753,75873
7,105584,110212
8,125787,139050
9,131683,161579
10,130032,182986
11,127013,200092
12,127283,208649
13,132316,203675
14,137451,187056
15,137650,166460
16,130670,149560
17,119077,137973
18,105340,128923
19,92208,114031
20,82091,92283
21,76455,65549
22,75468,38091
23,76608,17172
24,77801,5659
25,75822,1539
26,68752,487
27,58397,189
28,47278,38
29,35284,2
30,21775,0
31,10381,0
32,3543,0
33,801,0
34,105,0
35,6,0
