Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-11,58,0,0,0,60,0
-9,214,1,0,0,241,1
-8,0,11,0,0,0,12
-7,648,110,0,0,744,135
-6,0,195,0,0,0,237
-5,2735,475,0,0,3250,687
-4,0,974,0,0,0,1258
-3,5741,2745,0,0,7281,3752
-2,0,5551,0,0,0,7522
-1,30039,24805,0,0,47130,37088
0,0,4115,0,0,0,13943
1,0,369,29,29,34640,27531
2,0,79,0,0,0,4880
3,0,5,0,0,5383,3113
4,0,0,0,1,0,1825
5,0,0,2,5,3360,1698
6,0,0,0,6,0,1517
7,0,0,14,4,2600,838
8,0,0,0,1,0,319
9,0,0,0,1,1445,222
10,0,0,0,0,0,117
11,0,0,2,0,458,10
13,0,0,0,0,113,0
