node,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
0,50,1645,1219,3138,2355,2128,1604,2691,5241,4621,2446,7892,55784,26558,71953,7276,1421,2458,2621,1486,1321,1201,1413,1477,1
1,34,1055,1738,1833,2189,1537,1275,2352,3734,4636,4267,9060,55899,22307,73977,9164,3299,3221,2233,1832,2051,936,968,402,1
2,21,807,1820,1563,1692,1351,1439,3712,3172,3998,3453,7967,56453,21063,76304,8374,2881,3494,2757,4022,2411,796,361,89,0
3,9,719,1758,1546,1447,1057,1312,4067,3541,4402,3108,6845,55816,20412,76593,8175,3267,4839,4297,4390,1810,456,120,14,0
4,0,141,1068,1468,1736,2205,1163,1664,2132,3161,5259,9863,52741,19902,78561,13685,6670,3804,2219,1022,391,1099,46,0,0
