Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-19,11318,0,0,0,12116,0
-17,356909,0,0,0,468798,2
-16,0,1,0,0,0,5
-15,441691,109,0,0,701450,716
-14,0,425,0,0,0,779
-13,411570,1682,0,0,738470,4691
-12,0,17131,0,0,0,37340
-11,552118,57557,0,0,974994,95600
-10,0,121440,0,0,0,203689
-9,778930,206842,0,0,1400620,339578
-8,0,262179,0,0,0,438463
-7,976023,366411,0,0,1898235,663073
-6,0,473738,0,0,0,820387
-5,1237283,648435,0,0,2566454,1304631
-4,0,872521,0,0,0,1660291
-3,1946501,1259198,0,0,4198953,2942280
-2,0,2315532,0,0,0,4533411
-1,14583828,12189190,0,0,35517954,31439115
0,0,1912337,0,0,0,6457972
1,0,393674,90,90,21461939,19361400
2,0,121974,0,0,0,3353361
3,0,40926,1,1,3365855,2469458
4,0,19425,0,0,0,1514570
5,0,7825,3,3,2297703,1274345
6,0,4294,0,0,0,801258
7,0,1766,0,1,1754787,687378
8,0,865,0,0,0,456255
9,0,393,2,1,1344215,376281
10,0,222,0,0,0,319492
11,0,60,1,1,958993,451184
12,0,19,0,0,0,353792
13,0,0,0,2,754198,343767
14,0,0,0,8,0,127390
15,0,0,0,0,595880,4056
16,0,0,0,1,0,933
17,0,0,2,0,949111,450
18,0,0,0,0,0,3
19,0,0,9,0,835555,0
21,0,0,0,0,41116,0
