node,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,222,1893,10290,10364,21987,34943,64658,49524,96875,42246,68021,92760,865481,198235,1230085,96697,52546,30854,55724,24037,13217,8287,8650,1544,156,0
1,8,1837,4533,11611,11670,20216,33881,64291,45343,92972,30585,56716,83176,873732,266536,1228986,71756,46821,21198,55178,24898,11021,6954,9096,4394,1886,1
2,3,872,5039,16091,10420,26915,34811,60507,49285,78495,36585,60224,86337,864917,274501,1215089,75365,44227,25295,48872,26189,12739,6491,14799,3663,1553,12
3,6,2259,4136,11749,8371,16637,22415,57007,32699,56501,42148,107802,99079,804271,134927,1245158,160037,178139,42570,23950,9289,11544,2588,5108,892,14,0
4,0,861,2914,12527,8303,23718,32504,50639,35588,67215,29542,103237,100783,871020,154392,1185892,135001,130541,43505,46730,17856,16408,5728,4293,99,0,0
5,0,42,3453,11714,8542,20191,22340,61455,34309,58804,27179,88143,82638,877243,211378,1259809,91580,122530,24711,31171,14473,17258,2799,5366,2142,26,0
6,0,35,3226,16339,5468,21109,38416,44760,39392,45533,52750,121113,94161,789769,126570,1200503,149329,184192,85496,34202,11413,11098,2806,1568,48,0,0
7,0,789,5400,10923,9974,20161,41781,46526,41853,45928,40465,112393,109833,779249,175216,1146591,171125,184984,76276,30362,14014,9095,3094,2961,303,0,0
