,rank,count
0,0,19
1,1,316
2,2,2460
3,3,11938
4,4,40670
5,5,103968
6,6,210396
7,7,351131
8,8,512105
9,9,670812
10,10,838742
11,11,1031965
12,12,1150690
13,13,1230280
14,14,1192679
15,15,1108929
16,16,942639
17,17,799928
18,18,632497
19,19,456396
20,20,284295
21,21,145060
22,22,57761
23,23,16860
24,24,3505
25,25,417
26,26,22
