node,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,9,39,21,75,9,39,276,123,325,51,9,45,3
1,6,10,8,8,16,0,218,75,370,27,30,0,0
2,6,10,8,8,16,0,218,75,370,27,30,0,0
3,6,10,8,8,16,0,218,75,370,27,30,0,0
