node,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
0,21538,41257,31341,86342,424799,425160,693264,952938,311800,747135,5998070,1519294,6974544,1000782,297109,588132,220746,38407,22849,42105,9620
1,0,0,0,1156,102714,92500,110728,95095,187631,85862,4125584,977499,7595220,391924,378800,11063,0,0,0,0,0
2,0,0,0,1156,102714,92500,110728,95095,187631,75773,4117809,1041151,7559550,381806,378800,11063,0,0,0,0,0
3,0,0,0,1156,102714,92500,110728,95095,187631,71302,4108499,1086961,7531996,377331,378800,11063,0,0,0,0,0
4,0,0,0,1156,102714,92500,110728,95095,187631,69517,4100530,1118008,7512488,375546,378800,11063,0,0,0,0,0
5,30977,33749,25204,42354,401291,380711,872925,764063,529748,716727,5993371,1252975,6964132,930847,523686,462798,394480,71823,55371,0,0
6,0,0,0,2000,103093,90399,104375,67623,217798,81852,4099304,1101539,7545838,353325,378809,9821,0,0,0,0,0
7,0,0,0,2000,103093,90399,104375,67623,217798,80473,4075488,1178511,7495440,351946,378809,9821,0,0,0,0,0
8,0,0,0,2000,103093,90399,104375,67623,217798,79863,4059436,1229115,7462108,351336,378809,9821,0,0,0,0,0
9,0,0,0,2000,103093,90399,104375,67623,217798,79832,4049662,1258569,7442490,351305,378809,9821,0,0,0,0,0
