Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-15,409600,150,0,0,409600,150
-14,0,47310,0,0,0,47310
-13,286720,497907,0,0,284184,497835
-12,0,122163,0,0,0,117304
-11,433664,101417,0,0,355941,64561
-10,0,87579,0,0,0,67623
-9,1388280,1085725,0,0,1027727,870936
-8,0,208558,0,0,0,158917
-7,2010472,1573322,0,0,1223335,972163
-6,0,166502,0,0,0,95051
-5,2693361,2559387,0,0,1608480,1559869
-4,0,277138,0,0,0,166311
-3,1995887,2081055,0,0,1262896,1196093
-2,0,1649728,0,0,0,1210990
-1,43014268,41046786,0,0,38725705,37224494
0,0,726303,0,0,0,1094912
1,0,1222,121,121,21674126,20634867
2,0,0,0,0,0,892452
3,0,0,0,0,959692,872114
4,0,0,0,0,0,108446
5,0,0,0,0,1225845,1182049
6,0,0,0,0,0,77095
7,0,0,0,0,1111389,910311
8,0,0,0,0,0,138022
9,0,0,0,0,1088864,997449
10,0,0,0,9,0,195388
11,0,0,18,9,865054,626214
12,0,0,0,0,0,153518
13,0,0,0,0,500850,552231
14,0,0,0,6,0,124611
15,0,0,11,5,666983,517012
16,0,0,0,0,0,73364
17,0,0,0,0,409499,508
