,rank effect,count
0,-10,46
1,-9,50
2,-8,78
3,-7,41
4,-6,37
5,-5,31
6,-4,56
7,-3,62
8,-2,77
9,-1,820
10,0,379
11,1,1303
12,2,94
13,3,84
14,4,53
15,5,41
16,6,21
17,7,31
18,8,24
