Rank,Count (Max),Count (Avg)
0,19,19
1,316,316
2,2480,2480
3,12262,12263
4,42848,42874
5,112656,112901
6,231700,233303
7,384931,392912
8,531608,561378
9,630788,713850
10,671320,847869
11,665027,962962
12,642095,1050243
13,623423,1074346
14,617520,1027760
15,616710,921298
16,613949,798719
17,592713,687986
18,551424,604738
19,495727,531760
20,442573,447979
21,392737,344451
22,345950,230873
23,309444,125202
24,288246,50853
25,283188,14186
26,283712,2556
27,281932,350
28,264987,37
29,236490,12
30,196461,4
31,158737,0
32,121343,0
33,81843,0
34,44550,0
35,18277,0
36,5337,0
37,1033,0
38,118,0
39,6,0
