,rank,count
0,0,15
1,1,213
2,2,1411
3,3,5814
4,4,16814
5,5,36733
6,6,64431
7,7,96765
8,8,133162
9,9,176331
10,10,226523
11,11,277902
12,12,324212
13,13,366022
14,14,407809
15,15,447749
16,16,473724
17,17,472220
18,18,441689
19,19,394144
20,20,341788
21,21,286291
22,22,223784
23,23,155880
24,24,92345
25,25,44346
26,26,16351
27,27,4322
28,28,740
29,29,68
30,30,2
