node,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,16803,573021,33543,1146105,9243,580581,3032640,1748736,3724279,594606,9243,585189,4635
1,2400,63136,3640,61896,65536,0,2531846,81710,4848012,134568,71576,0,0
2,2400,63136,3640,61896,65536,0,2531573,82529,4847466,134568,71576,0,0
3,2400,63136,3640,61896,65536,0,2531321,83285,4846962,134568,71576,0,0
4,2400,63136,3640,61896,65536,0,2531090,83978,4846500,134568,71576,0,0
5,2400,63136,3640,61896,65536,0,2530880,84608,4846080,134568,71576,0,0
6,2400,63136,3640,61896,65536,0,2530691,85175,4845702,134568,71576,0,0
7,2400,63136,3640,61896,65536,0,2530523,85679,4845366,134568,71576,0,0
8,2400,63136,3640,61896,65536,0,2530376,86120,4845072,134568,71576,0,0
9,2400,63136,3640,61896,65536,0,2530250,86498,4844820,134568,71576,0,0
