,rank,count
0,0,10
1,1,112
2,2,568
3,3,1732
4,4,3625
5,5,5806
6,6,8531
7,7,12562
8,8,19275
9,9,27234
10,10,36661
11,11,46441
12,12,53904
13,13,63550
14,14,71998
15,15,81183
16,16,91669
17,17,106182
18,18,125088
19,19,139218
20,20,142353
21,21,133138
22,22,117472
23,23,101589
24,24,88736
25,25,74912
26,26,57613
27,27,37807
28,28,20115
29,29,8018
30,30,2161
31,31,330
32,32,23
